// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
03148		4.720192	-1.673733	8.328398	0.021894	-0.005446	-0.003740	-0.629883	0.438721	-0.265869	0.334172	-0.267397	-0.003446	-0.903779
03149		4.697766	-1.688544	8.327015	0.022376	-0.004872	-0.002745	-0.636475	0.442383	-0.273682	0.334215	-0.267358	-0.003729	-0.903773
03150		4.697565	-1.695931	8.331787	0.028741	-0.006683	-0.002427	-0.626953	0.431641	-0.276367	0.334284	-0.267308	-0.004091	-0.903761
03151		4.729934	-1.648560	8.332191	0.034630	-0.007860	-0.004069	-0.640137	0.436768	-0.271484	0.334354	-0.267251	-0.004527	-0.903750
03152		4.770316	-1.636058	8.341941	0.023754	-0.007266	-0.002427	-0.633545	0.441406	-0.267822	0.334405	-0.267233	-0.004834	-0.903735
03153		4.720516	-1.643162	8.336056	0.008999	-0.005175	-0.000626	-0.635010	0.438965	-0.263428	0.334427	-0.267256	-0.004962	-0.903719
03154		4.712584	-1.643887	8.325716	0.005062	-0.011353	0.001295	-0.631348	0.433350	-0.267578	0.334457	-0.267364	-0.005066	-0.903676
03155		4.705166	-1.644686	8.315074	0.007945	-0.010024	-0.001291	-0.635010	0.430420	-0.274170	0.334467	-0.267443	-0.005206	-0.903648
03156		4.699994	-1.686577	8.311654	0.011302	-0.009327	-0.001921	-0.625488	0.437744	-0.271729	0.334482	-0.267497	-0.005382	-0.903625
03157		4.736947	-1.647889	8.317997	0.020816	-0.010301	-0.004438	-0.633301	0.429443	-0.270264	0.334504	-0.267521	-0.005667	-0.903608
03158		4.710015	-1.623155	8.322612	0.023107	-0.006426	-0.005061	-0.633057	0.432373	-0.268311	0.334525	-0.267494	-0.005964	-0.903606
03159		4.712346	-1.592148	8.355902	0.016701	-0.012718	-0.007596	-0.630859	0.435547	-0.269531	0.334495	-0.267561	-0.006225	-0.903596
03160		4.757005	-1.604645	8.346137	0.002487	-0.017578	0.000091	-0.633301	0.429932	-0.270264	0.334507	-0.267732	-0.006326	-0.903540
03161		4.757938	-1.609704	8.328152	-0.001892	-0.017867	0.000212	-0.634277	0.432617	-0.264404	0.334498	-0.267922	-0.006388	-0.903487
03162		4.741496	-1.635552	8.331765	-0.002676	-0.012337	0.002049	-0.637207	0.434570	-0.273438	0.334507	-0.268063	-0.006414	-0.903441
03163		4.747874	-1.620587	8.312756	0.000531	-0.008587	0.002832	-0.633789	0.438965	-0.263184	0.334538	-0.268134	-0.006459	-0.903408
03164		4.732721	-1.617443	8.337711	-0.000153	-0.006183	0.001706	-0.632812	0.439453	-0.272217	0.334561	-0.268200	-0.006482	-0.903380
03165		4.725712	-1.627737	8.347587	-0.000055	-0.007674	0.001770	-0.635498	0.435791	-0.271484	0.334591	-0.268259	-0.006516	-0.903351
03166		4.721965	-1.637949	8.314789	0.001283	-0.010139	0.000552	-0.630371	0.433594	-0.272461	0.334602	-0.268334	-0.006581	-0.903324
03167		4.717774	-1.611094	8.324136	0.002718	-0.014094	-0.000601	-0.638916	0.430664	-0.281738	0.334612	-0.268441	-0.006677	-0.903288
03168		4.693176	-1.625438	8.313862	-0.003340	-0.015548	-0.001673	-0.637207	0.433105	-0.271484	0.334570	-0.268553	-0.006732	-0.903270
03169		4.746406	-1.627920	8.321816	-0.000495	-0.017844	-0.001388	-0.634766	0.440430	-0.270508	0.334546	-0.268706	-0.006811	-0.903233
03170		4.759832	-1.602226	8.333817	-0.000861	-0.015861	-0.001210	-0.630371	0.440430	-0.269775	0.334557	-0.268841	-0.006864	-0.903188
03171		4.739290	-1.625280	8.301271	-0.005714	-0.013884	-0.000006	-0.636475	0.433105	-0.264160	0.334579	-0.268978	-0.006849	-0.903139
03172		4.739251	-1.651810	8.308369	-0.000525	-0.013866	-0.001829	-0.639404	0.438965	-0.266357	0.334541	-0.269121	-0.006907	-0.903111
03173		4.750519	-1.638709	8.325275	0.001806	-0.012761	-0.002978	-0.641846	0.435303	-0.278809	0.334522	-0.269232	-0.006981	-0.903084
