// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
03148		3.892594	0.948496	8.863150	-0.010994	-0.011083	-0.003557	-0.499023	0.551758	-0.653076	0.563996	-0.138331	-0.158842	-0.798462
03149		3.931612	0.947225	8.836830	-0.007213	-0.009889	-0.002101	-0.505615	0.558350	-0.660400	0.563943	-0.138477	-0.158844	-0.798474
03150		3.896609	0.956314	8.842547	-0.006536	-0.009924	-0.004447	-0.494873	0.546875	-0.665039	0.563862	-0.138618	-0.158860	-0.798503
03151		3.906199	0.964048	8.811456	-0.007455	-0.010691	-0.003705	-0.507324	0.552490	-0.658203	0.563858	-0.138711	-0.158815	-0.798499
03152		3.913340	0.979366	8.870640	-0.013370	-0.008999	-0.004016	-0.507812	0.556885	-0.657471	0.563739	-0.138920	-0.158784	-0.798553
03153		3.938178	0.930596	8.843462	-0.010373	-0.003753	-0.002904	-0.506104	0.556152	-0.647705	0.563655	-0.139049	-0.158741	-0.798599
03154		3.912501	0.935815	8.857910	-0.007386	-0.002471	-0.000628	-0.503174	0.551025	-0.653809	0.563582	-0.139169	-0.158731	-0.798631
03155		3.892784	0.950655	8.832454	-0.010556	-0.004581	-0.003745	-0.506836	0.550293	-0.660645	0.563499	-0.139302	-0.158686	-0.798675
03156		3.902367	0.935327	8.839820	-0.016302	-0.009077	-0.002345	-0.495117	0.549805	-0.655762	0.563409	-0.139523	-0.158615	-0.798714
03157		3.905549	0.940971	8.830032	-0.024912	-0.009716	0.000333	-0.502197	0.547852	-0.652588	0.563393	-0.139756	-0.158414	-0.798725
03158		3.874592	0.973885	8.808203	-0.042319	-0.014877	0.004552	-0.503174	0.552246	-0.655273	0.563316	-0.140228	-0.158115	-0.798756
03159		3.936368	0.874226	8.871249	-0.045980	-0.013076	0.004890	-0.500488	0.555664	-0.653809	0.563257	-0.140704	-0.157749	-0.798786
03160		3.957959	0.850027	8.886496	-0.027537	-0.010567	-0.003498	-0.503174	0.553467	-0.652588	0.563176	-0.141004	-0.157539	-0.798832
03161		3.947597	0.851912	8.868257	0.003533	-0.008161	-0.007128	-0.503174	0.557617	-0.648438	0.563093	-0.141071	-0.157648	-0.798857
03162		3.928854	0.901047	8.854276	0.011407	-0.007459	-0.008226	-0.505615	0.556152	-0.658447	0.563021	-0.141111	-0.157807	-0.798869
03163		3.924049	0.904774	8.874287	0.004878	-0.006994	-0.008623	-0.505615	0.561768	-0.643555	0.562944	-0.141166	-0.157901	-0.798895
03164		3.918904	0.909052	8.835244	0.000732	-0.003423	-0.006527	-0.502686	0.562256	-0.653076	0.562868	-0.141284	-0.157910	-0.798926
03165		3.910614	0.900908	8.855595	-0.004272	-0.002790	-0.004674	-0.507812	0.557617	-0.653320	0.562846	-0.141377	-0.157838	-0.798939
03166		3.911425	0.900270	8.855302	-0.006045	-0.005583	-0.005627	-0.501953	0.557861	-0.658691	0.562761	-0.141513	-0.157819	-0.798979
03167		3.931066	0.894719	8.851517	-0.002384	-0.005245	-0.004241	-0.510742	0.553223	-0.663330	0.562749	-0.141554	-0.157802	-0.798984
03168		3.918742	0.888699	8.842775	-0.001895	-0.006101	-0.007429	-0.508301	0.553955	-0.650879	0.562647	-0.141615	-0.157857	-0.799034
03169		3.924245	0.897730	8.852057	0.000542	-0.006988	-0.003022	-0.503662	0.561523	-0.650146	0.562574	-0.141706	-0.157935	-0.799054
03170		3.928196	0.878043	8.839429	0.003716	-0.007333	-0.006296	-0.501709	0.563965	-0.654297	0.562533	-0.141779	-0.157982	-0.799060
03171		3.949800	0.874261	8.844810	0.010001	-0.007367	-0.004312	-0.505371	0.558105	-0.646484	0.562562	-0.141793	-0.158059	-0.799022
03172		3.931436	0.912808	8.849743	0.010306	-0.007823	-0.005144	-0.510254	0.562500	-0.649170	0.562511	-0.141843	-0.158207	-0.799020
03173		3.941275	0.873267	8.844117	0.012439	-0.009793	-0.007758	-0.509277	0.561279	-0.660156	0.562429	-0.141937	-0.158375	-0.799028
03174		3.939161	0.898452	8.845130	0.015674	-0.008939	-0.007075	-0.499512	0.562988	-0.659180	0.562398	-0.141928	-0.158562	-0.799014
03175		3.936655	0.894021	8.834062	0.016224	-0.007685	-0.007754	-0.502930	0.559570	-0.659180	0.562442	-0.141841	-0.158693	-0.798972
03176		3.945861	0.925552	8.833946	0.007927	-0.005741	-0.005594	-0.495605	0.547852	-0.661865	0.562461	-0.141802	-0.158764	-0.798952
03177		3.947091	0.916532	8.852384	0.003658	-0.002116	-0.005018	-0.500488	0.549316	-0.651123	0.562481	-0.141611	-0.158827	-0.798959
03178		3.949865	0.897246	8.840273	0.004757	-0.001430	-0.003469	-0.507812	0.555908	-0.653809	0.562460	-0.141537	-0.158908	-0.798971
03179		3.930098	0.904510	8.833728	0.005489	-0.002401	-0.003602	-0.506592	0.552002	-0.655273	0.562432	-0.141547	-0.158980	-0.798974
03180		3.925402	0.916834	8.845005	0.000607	-0.002144	-0.004862	-0.508301	0.562012	-0.650635	0.562373	-0.141539	-0.159026	-0.799008
03181		3.955134	0.909596	8.849294	0.005062	-0.001887	-0.004301	-0.498291	0.553955	-0.663330	0.562368	-0.141615	-0.159037	-0.798996
03182		3.937561	0.896058	8.831060	0.003232	0.000538	-0.003968	-0.508545	0.552002	-0.660889	0.562454	-0.141435	-0.159034	-0.798968
03183		3.949647	0.893704	8.848579	0.007198	0.001335	-0.004870	-0.503906	0.557861	-0.654541	0.562413	-0.141309	-0.159133	-0.798999
03184		3.941211	0.908525	8.840788	0.007746	-0.000463	-0.005845	-0.504150	0.560791	-0.655762	0.562434	-0.141265	-0.159173	-0.798984
03185		3.940824	0.911264	8.840678	0.012202	0.002848	-0.004989	-0.500244	0.559326	-0.655518	0.562508	-0.141169	-0.159207	-0.798943
03186		3.947629	0.882169	8.876615	0.021535	0.003442	-0.009280	-0.504639	0.559814	-0.657227	0.562585	-0.140957	-0.159326	-0.798902
03187		3.925565	0.915847	8.832184	0.027086	0.003155	-0.010379	-0.506348	0.549316	-0.652832	0.562629	-0.140736	-0.159520	-0.798872
03188		3.904680	0.927518	8.825650	0.018911	0.001989	-0.006981	-0.507324	0.552490	-0.655518	0.562553	-0.140584	-0.159732	-0.798909
03189		3.908448	0.909620	8.823256	0.006343	-0.000697	-0.006569	-0.506592	0.556396	-0.655029	0.562488	-0.140555	-0.159809	-0.798944
03190		3.935658	0.923348	8.839336	0.001525	-0.003201	-0.002701	-0.504883	0.551758	-0.656006	0.562496	-0.140623	-0.159801	-0.798929
03191		3.948521	0.920058	8.856621	0.001830	-0.001515	-0.001785	-0.507324	0.555176	-0.658936	0.562495	-0.140609	-0.159818	-0.798928
03192		3.921825	0.908653	8.840076	0.004269	-0.000894	-0.004938	-0.501953	0.551758	-0.648926	0.562486	-0.140580	-0.159846	-0.798934
03193		3.932562	0.917684	8.828685	0.004208	-0.003920	-0.005996	-0.500732	0.554688	-0.655273	0.562451	-0.140630	-0.159876	-0.798944
03194		3.922539	0.911038	8.839513	-0.000307	0.000133	-0.003823	-0.501465	0.552734	-0.655762	0.562514	-0.140605	-0.159796	-0.798920
03195		3.930190	0.909825	8.828184	0.001583	-0.000499	-0.006298	-0.504639	0.552002	-0.656982	0.562526	-0.140554	-0.159771	-0.798926
03196		3.946701	0.916226	8.855455	0.006891	-0.000351	-0.005799	-0.497314	0.547607	-0.645752	0.562509	-0.140474	-0.159829	-0.798940
03197		3.934207	0.922495	8.837692	0.008964	-0.000154	-0.007434	-0.510254	0.553467	-0.657227	0.562482	-0.140423	-0.159877	-0.798958
