// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
34822		4.841456	-1.904862	8.214849	-0.002083	-0.007069	0.001260	-0.629395	0.450439	-0.254150	0.337096	-0.278469	0.004518	-0.899334
34823		4.834547	-1.909421	8.210679	0.000352	-0.005241	0.001035	-0.635498	0.445557	-0.260498	0.337109	-0.278526	0.004495	-0.899311
34824		4.840878	-1.896811	8.209488	0.000277	-0.005098	0.001908	-0.625488	0.451904	-0.251709	0.337125	-0.278576	0.004470	-0.899290
34825		4.841224	-1.911877	8.201202	0.001247	-0.005553	0.000841	-0.618896	0.445312	-0.255371	0.337139	-0.278633	0.004435	-0.899267
34826		4.849427	-1.892930	8.187832	0.000877	-0.004592	0.001497	-0.634277	0.453125	-0.267578	0.337160	-0.278682	0.004412	-0.899244
34827		4.834648	-1.915565	8.197039	0.004292	-0.001080	-0.000641	-0.620117	0.456055	-0.256348	0.337167	-0.278678	0.004356	-0.899243
34828		4.841186	-1.916597	8.212673	0.003692	-0.001585	-0.000230	-0.629883	0.445068	-0.253174	0.337177	-0.278683	0.004308	-0.899238
34829		4.830992	-1.911510	8.205111	0.004237	-0.005167	-0.000369	-0.622559	0.449707	-0.254883	0.337189	-0.278726	0.004240	-0.899221
34830		4.837781	-1.882840	8.211950	0.003876	-0.002066	-0.000558	-0.629150	0.453613	-0.255615	0.337198	-0.278734	0.004192	-0.899215
34831		4.841111	-1.890922	8.215684	0.001328	-0.003799	0.002833	-0.628174	0.445068	-0.258789	0.337235	-0.278770	0.004173	-0.899190
34832		4.828265	-1.907789	8.212559	0.001891	-0.003101	0.001003	-0.628906	0.443359	-0.258301	0.337253	-0.278793	0.004142	-0.899176
34833		4.850414	-1.886102	8.218496	0.003276	-0.002571	-0.000148	-0.632812	0.437500	-0.258301	0.337262	-0.278802	0.004096	-0.899170
34834		4.847935	-1.877594	8.214357	-0.001238	-0.001059	0.003115	-0.631348	0.446289	-0.253662	0.337288	-0.278811	0.004113	-0.899157
34835		4.835458	-1.909537	8.227642	0.000221	-0.000673	0.001091	-0.633301	0.448975	-0.253418	0.337300	-0.278813	0.004107	-0.899153
34836		4.831317	-1.878574	8.226707	-0.009964	-0.006638	-0.000184	-0.628174	0.453613	-0.253662	0.337264	-0.278923	0.004191	-0.899132
34837		4.891550	-1.875933	8.245061	-0.022554	-0.006354	0.002805	-0.628174	0.445801	-0.262695	0.337227	-0.279075	0.004429	-0.899097
34838		4.835868	-1.891276	8.191411	-0.030715	0.000343	0.013445	-0.628906	0.445068	-0.259521	0.337271	-0.279171	0.004804	-0.899049
34839		4.777161	-1.962791	8.187152	-0.016797	-0.003253	0.005863	-0.627441	0.448486	-0.256104	0.337275	-0.279255	0.004978	-0.899020
34840		4.810163	-1.948095	8.199844	0.000541	-0.003827	0.003568	-0.632080	0.453369	-0.252930	0.337326	-0.279272	0.004972	-0.898996
34841		4.829618	-1.918663	8.201658	0.000505	-0.003633	0.002149	-0.627686	0.447510	-0.260254	0.337366	-0.279296	0.004977	-0.898973
34842		4.810311	-1.909454	8.210416	0.005313	-0.006206	0.002812	-0.621338	0.449463	-0.251953	0.337429	-0.279302	0.004910	-0.898948
34843		4.832476	-1.902221	8.208412	0.007141	-0.006780	0.000131	-0.632568	0.443848	-0.249023	0.337483	-0.279330	0.004826	-0.898920
34844		4.828313	-1.914046	8.208496	0.003521	-0.005581	0.003200	-0.630127	0.451660	-0.257324	0.337509	-0.279375	0.004779	-0.898896
34845		4.834878	-1.930474	8.215931	0.005948	-0.005895	0.003818	-0.632324	0.454346	-0.259033	0.337595	-0.279375	0.004714	-0.898864
34846		4.830338	-1.912402	8.207688	0.008118	-0.005340	0.001928	-0.635498	0.450439	-0.254639	0.337678	-0.279354	0.004623	-0.898840
34847		4.844805	-1.894044	8.210220	0.007185	-0.004834	0.000704	-0.622559	0.447266	-0.254395	0.337711	-0.279356	0.004534	-0.898828
34848		4.826125	-1.907708	8.191530	0.007700	-0.006326	0.002010	-0.626709	0.447510	-0.268311	0.337783	-0.279365	0.004444	-0.898798
34849		4.837134	-1.902401	8.218180	0.001681	-0.006902	0.003016	-0.632324	0.451172	-0.254150	0.337852	-0.279321	0.004399	-0.898786
34850		4.839499	-1.881605	8.188932	0.002269	-0.008537	0.003448	-0.623291	0.450684	-0.251221	0.337911	-0.279392	0.004360	-0.898742
34851		4.815465	-1.915496	8.206393	-0.001789	-0.005988	0.004340	-0.621826	0.439209	-0.259521	0.337996	-0.279465	0.004394	-0.898687
34852		4.811879	-1.913650	8.213938	0.000454	-0.005578	0.001575	-0.630371	0.448975	-0.252197	0.337984	-0.279448	0.004354	-0.898697
34853		4.831429	-1.899247	8.207544	-0.000613	-0.009015	0.001495	-0.625000	0.450684	-0.258545	0.337998	-0.279548	0.004340	-0.898661
34854		4.853740	-1.869816	8.232363	-0.002783	-0.009569	0.003386	-0.631836	0.449219	-0.252441	0.338086	-0.279598	0.004356	-0.898612
34855		4.831210	-1.908031	8.193458	-0.007625	-0.007044	0.005020	-0.626953	0.446045	-0.261719	0.338105	-0.279706	0.004431	-0.898571
34856		4.815986	-1.923861	8.221727	-0.002919	-0.007142	0.004288	-0.628418	0.448242	-0.255371	0.338149	-0.279692	0.004427	-0.898559
34857		4.865088	-1.885245	8.224655	-0.005530	-0.006346	0.004001	-0.624756	0.457275	-0.257568	0.338180	-0.279746	0.004477	-0.898530
34858		4.832535	-1.918746	8.202751	-0.005284	-0.002740	0.003404	-0.627441	0.446045	-0.262207	0.338345	-0.279734	0.004570	-0.898471
34859		4.815033	-1.934320	8.207675	0.000231	-0.005149	0.004192	-0.623779	0.456543	-0.257080	0.338384	-0.279669	0.004533	-0.898477
34860		4.821595	-1.921878	8.206316	0.000510	-0.007863	0.001541	-0.629395	0.454346	-0.253662	0.338558	-0.279692	0.004536	-0.898404
34861		4.844540	-1.900940	8.211611	-0.000335	-0.005603	0.002312	-0.627930	0.449707	-0.251709	0.338656	-0.279744	0.004550	-0.898351
34862		4.824753	-1.907374	8.212461	-0.000041	-0.006421	0.002527	-0.627930	0.445068	-0.263184	0.338694	-0.279821	0.004545	-0.898313
34863		4.833982	-1.903545	8.215080	-0.000408	-0.005460	0.003185	-0.625977	0.446533	-0.262451	0.338685	-0.279733	0.004499	-0.898344
34864		4.839724	-1.906638	8.205957	-0.003782	-0.006778	0.002191	-0.631836	0.455078	-0.254395	0.338696	-0.279678	0.004493	-0.898357
34865		4.810439	-1.948047	8.187840	-0.002961	-0.006948	0.002868	-0.623047	0.456543	-0.257812	0.338783	-0.279759	0.004525	-0.898299
34866		4.833273	-1.903126	8.220626	0.002969	-0.008128	-0.000138	-0.623291	0.453857	-0.256348	0.338984	-0.279752	0.004499	-0.898225
34867		4.852715	-1.888397	8.214341	-0.001379	-0.004759	0.000545	-0.627441	0.449463	-0.264893	0.339122	-0.279743	0.004529	-0.898176
34868		4.841805	-1.900286	8.198651	-0.006376	-0.004086	0.004774	-0.623535	0.450684	-0.252930	0.339172	-0.279628	0.004571	-0.898192
34869		4.831446	-1.904276	8.226472	-0.012325	-0.004801	0.004914	-0.626709	0.449219	-0.254395	0.339250	-0.279716	0.004730	-0.898135
34870		4.841676	-1.942265	8.217019	-0.017491	-0.005492	0.004313	-0.626221	0.453369	-0.258545	0.339234	-0.279818	0.004918	-0.898108
34871		4.832587	-1.926874	8.215890	-0.016233	-0.006766	0.003456	-0.627197	0.441650	-0.256104	0.339312	-0.279861	0.005091	-0.898064
34872		4.868354	-1.908178	8.215249	-0.022114	-0.007623	0.002721	-0.625732	0.441406	-0.258789	0.339076	-0.279962	0.005270	-0.898121
34873		4.839041	-1.909461	8.195638	-0.025844	-0.002103	0.009571	-0.625732	0.451660	-0.258301	0.338930	-0.279959	0.005524	-0.898175
34874		4.796100	-1.943089	8.189812	-0.025378	0.000828	0.010065	-0.625000	0.452393	-0.241943	0.339024	-0.279943	0.005837	-0.898143
34875		4.807291	-1.982580	8.204096	-0.018257	-0.005711	0.006458	-0.628662	0.451416	-0.254883	0.339063	-0.280250	0.006108	-0.898030
34876		4.843496	-1.948838	8.211440	-0.016398	-0.006480	0.005189	-0.627197	0.452881	-0.249268	0.339056	-0.280335	0.006274	-0.898005
34877		4.808886	-1.960734	8.192803	-0.012711	-0.003843	0.005560	-0.627441	0.452881	-0.252441	0.339099	-0.280468	0.006449	-0.897947
34878		4.832315	-1.956959	8.213982	-0.007268	-0.005864	0.003505	-0.625244	0.450439	-0.260498	0.339141	-0.280539	0.006529	-0.897908
34879		4.841667	-1.910736	8.215781	-0.012621	-0.002094	0.007556	-0.625244	0.452637	-0.250244	0.339212	-0.280423	0.006651	-0.897916
34880		4.828193	-1.954877	8.184532	-0.010922	-0.000493	0.009489	-0.623535	0.455078	-0.259521	0.339320	-0.280477	0.006827	-0.897857
34881		4.810113	-2.001880	8.197753	-0.006229	-0.002485	0.005883	-0.627441	0.452393	-0.249023	0.339520	-0.280353	0.006902	-0.897820
34882		4.832784	-1.968001	8.211068	-0.008020	-0.001858	0.006276	-0.624268	0.447998	-0.247070	0.339540	-0.280446	0.007024	-0.897782
34883		4.802120	-1.956804	8.212477	-0.006323	-0.004232	0.003884	-0.619385	0.445068	-0.250000	0.339465	-0.280568	0.007101	-0.897772
34884		4.828221	-1.955335	8.201674	-0.010399	-0.003821	0.005625	-0.626221	0.454834	-0.255127	0.339417	-0.280608	0.007212	-0.897777
34885		4.807753	-1.964196	8.202342	-0.009760	-0.003514	0.006631	-0.627441	0.459229	-0.254883	0.339536	-0.280596	0.007330	-0.897735
34886		4.791194	-1.989464	8.187051	-0.002175	-0.005039	0.004974	-0.617188	0.458252	-0.248535	0.339747	-0.280588	0.007375	-0.897657
34887		4.780759	-1.999669	8.171377	0.009503	-0.009061	0.000121	-0.621826	0.450684	-0.260254	0.340079	-0.280643	0.007315	-0.897515
34888		4.799198	-1.964771	8.205156	0.016315	-0.012698	-0.002253	-0.617920	0.451416	-0.253906	0.340140	-0.280483	0.007034	-0.897544
34889		4.827199	-1.957395	8.194624	0.017191	-0.010926	-0.000998	-0.622314	0.457764	-0.246094	0.340299	-0.280411	0.006807	-0.897508
34890		4.814776	-1.955595	8.175445	0.020461	-0.009276	-0.000548	-0.629639	0.452148	-0.255127	0.340562	-0.280508	0.006612	-0.897379
34891		4.801298	-1.950597	8.212391	0.020107	-0.010402	-0.001344	-0.627930	0.442871	-0.252441	0.340537	-0.280465	0.006310	-0.897404
34892		4.812795	-1.927298	8.222977	0.018017	-0.013184	-0.001781	-0.627686	0.452393	-0.264648	0.340247	-0.280489	0.005986	-0.897509
34893		4.829736	-1.960151	8.205509	0.015778	-0.015432	-0.004177	-0.619873	0.452393	-0.252686	0.340284	-0.280319	0.005660	-0.897550
34894		4.826920	-1.954273	8.188799	0.017251	-0.017383	-0.003952	-0.623535	0.454834	-0.261230	0.340440	-0.280369	0.005404	-0.897477
34895		4.829749	-1.942145	8.207295	0.010398	-0.017777	-0.003607	-0.628174	0.448486	-0.250977	0.340612	-0.280305	0.005183	-0.897433
34896		4.856134	-1.903403	8.219426	0.011107	-0.017611	-0.003477	-0.626465	0.450684	-0.252930	0.340461	-0.280462	0.004961	-0.897443
34897		4.836965	-1.908021	8.195576	0.002709	-0.015913	-0.002480	-0.629150	0.441895	-0.262695	0.340412	-0.280586	0.004851	-0.897423
34898		4.858785	-1.922407	8.196470	0.002507	-0.017573	-0.001314	-0.631592	0.450195	-0.261475	0.340111	-0.280521	0.004623	-0.897559
34899		4.844121	-1.936750	8.200097	-0.001251	-0.015838	-0.000188	-0.629395	0.449463	-0.253418	0.340021	-0.280514	0.004497	-0.897595
34900		4.851793	-1.939559	8.189815	-0.003221	-0.014729	0.000541	-0.632568	0.446289	-0.255615	0.339914	-0.280652	0.004455	-0.897593
34901		4.838314	-1.924515	8.209036	-0.001125	-0.014034	-0.000484	-0.627441	0.452881	-0.255371	0.339663	-0.280736	0.004345	-0.897662
34902		4.839259	-1.925383	8.183397	-0.003585	-0.013768	0.001201	-0.620850	0.443848	-0.253662	0.339734	-0.280814	0.004325	-0.897611
34903		4.818251	-1.944446	8.207443	-0.003099	-0.019243	-0.001827	-0.628174	0.458252	-0.255127	0.339664	-0.280925	0.004232	-0.897603
34904		4.862409	-1.909542	8.205050	-0.005221	-0.022079	0.000032	-0.626953	0.451660	-0.255615	0.339853	-0.281118	0.004223	-0.897471
34905		4.849124	-1.948771	8.180010	-0.002677	-0.024824	-0.000280	-0.633301	0.447510	-0.256348	0.339894	-0.281292	0.004128	-0.897402
34906		4.892060	-1.920180	8.189449	-0.005188	-0.022275	0.001444	-0.622803	0.448242	-0.251709	0.339695	-0.281455	0.004034	-0.897426
34907		4.871569	-1.934157	8.176862	-0.006603	-0.018379	0.001802	-0.621826	0.448975	-0.254150	0.339734	-0.281610	0.004027	-0.897363
34908		4.866182	-1.930826	8.191062	-0.004397	-0.018021	0.001316	-0.624512	0.447998	-0.253662	0.339840	-0.281693	0.003983	-0.897297
34909		4.878556	-1.936451	8.172152	-0.003845	-0.015233	0.000942	-0.625977	0.449951	-0.253174	0.339843	-0.281763	0.003936	-0.897274
34910		4.855311	-1.932272	8.200269	-0.004138	-0.014415	0.000730	-0.631348	0.458740	-0.254883	0.339864	-0.281844	0.003907	-0.897241
34911		4.848185	-1.937806	8.171117	-0.004340	-0.016076	0.001895	-0.623535	0.444336	-0.260010	0.340037	-0.281959	0.003904	-0.897139
34912		4.887611	-1.939062	8.166120	-0.002089	-0.013523	-0.001715	-0.623291	0.444824	-0.253906	0.339970	-0.281855	0.003776	-0.897198
34913		4.877670	-1.947295	8.205698	-0.003342	-0.010162	0.000607	-0.636230	0.454102	-0.258545	0.339906	-0.281841	0.003728	-0.897226
34914		4.894799	-1.924496	8.194937	0.000494	-0.007811	-0.000786	-0.618408	0.452881	-0.259277	0.339851	-0.281788	0.003640	-0.897264
34915		4.881209	-1.926828	8.175497	-0.001115	-0.003489	0.002201	-0.630859	0.445312	-0.249512	0.340225	-0.281580	0.003611	-0.897188
34916		4.876392	-1.916236	8.203397	-0.001584	-0.002190	0.002322	-0.626221	0.451416	-0.251709	0.339981	-0.281605	0.003609	-0.897273
34917		4.862758	-1.957638	8.172879	-0.001696	0.000235	0.003237	-0.625488	0.453613	-0.250977	0.340066	-0.281548	0.003641	-0.897258
34918		4.864331	-1.951808	8.160632	0.001695	-0.000540	0.002758	-0.627930	0.447510	-0.254639	0.340230	-0.281503	0.003647	-0.897210
34919		4.865099	-1.936308	8.168555	0.005934	0.000654	0.002118	-0.629639	0.451172	-0.244385	0.340181	-0.281358	0.003553	-0.897275
34920		4.849621	-1.934559	8.206252	0.004774	0.001840	-0.000180	-0.632324	0.447510	-0.250488	0.340098	-0.281420	0.003553	-0.897287
34921		4.879626	-1.940921	8.168398	0.006089	0.004599	0.000993	-0.633545	0.447510	-0.248779	0.339915	-0.281336	0.003492	-0.897383
34922		4.862195	-1.924643	8.190437	0.004169	0.005511	0.003146	-0.622070	0.450928	-0.257324	0.339711	-0.281290	0.003477	-0.897474
34923		4.857613	-1.936952	8.215621	0.000644	0.004483	0.003915	-0.619385	0.456543	-0.257324	0.339949	-0.281062	0.003470	-0.897456
34924		4.841119	-1.924914	8.181061	-0.000983	0.000402	0.003366	-0.629639	0.445557	-0.254639	0.340372	-0.280892	0.003498	-0.897349
34925		4.831389	-1.935917	8.189790	-0.001072	-0.003684	0.003617	-0.625244	0.446777	-0.253906	0.340216	-0.280852	0.003464	-0.897420
34926		4.856402	-1.947771	8.171436	-0.000581	-0.002842	0.002662	-0.628662	0.446777	-0.256836	0.340187	-0.280794	0.003442	-0.897449
34927		4.853190	-1.930334	8.187306	0.003725	-0.001791	0.001148	-0.625000	0.451904	-0.254150	0.340101	-0.280674	0.003348	-0.897520
34928		4.874158	-1.924039	8.185481	0.000579	0.000451	0.001877	-0.633057	0.454102	-0.254883	0.340220	-0.280586	0.003349	-0.897503
34929		4.829541	-1.927509	8.185322	0.002765	-0.001334	0.002224	-0.623535	0.452393	-0.258301	0.340223	-0.280545	0.003319	-0.897514
34930		4.848040	-1.942132	8.187998	0.004327	-0.001287	0.000735	-0.626709	0.451660	-0.259033	0.340413	-0.280386	0.003244	-0.897492
34931		4.860144	-1.901080	8.194374	0.003412	-0.003114	0.001771	-0.619629	0.443359	-0.258545	0.340518	-0.280258	0.003167	-0.897493
34932		4.837988	-1.913124	8.208236	0.000735	-0.002171	0.002379	-0.621582	0.444092	-0.253174	0.340543	-0.280089	0.003101	-0.897536
34933		4.835539	-1.928245	8.176459	0.003479	-0.003256	0.000897	-0.628906	0.447510	-0.253418	0.340493	-0.280031	0.003032	-0.897573
34934		4.833688	-1.924978	8.208417	0.003478	-0.003256	0.000897	-0.622803	0.453857	-0.261475	0.340375	-0.280015	0.002973	-0.897623
34935		4.859773	-1.920780	8.197918	0.002987	-0.004098	0.001852	-0.627930	0.441895	-0.251709	0.340658	-0.279856	0.002894	-0.897566
34936		4.852937	-1.909638	8.202185	0.001940	-0.001162	0.001552	-0.630127	0.452637	-0.256836	0.340386	-0.279840	0.002856	-0.897674
34937		4.851802	-1.924599	8.194618	0.001472	0.002225	0.003129	-0.624023	0.447754	-0.252930	0.340429	-0.279736	0.002852	-0.897690
34938		4.843904	-1.913832	8.199425	0.001471	0.002225	0.003129	-0.624268	0.449219	-0.259033	0.340448	-0.279660	0.002855	-0.897707
34939		4.831176	-1.924925	8.184965	0.000199	0.003447	0.006284	-0.629883	0.451172	-0.253418	0.340582	-0.279481	0.002856	-0.897712
34940		4.796164	-1.947732	8.184524	0.004750	-0.000303	0.000652	-0.624023	0.447266	-0.259521	0.340533	-0.279454	0.002815	-0.897739
34941		4.827831	-1.906077	8.201237	0.007715	-0.006241	-0.002656	-0.627686	0.449219	-0.254150	0.340545	-0.279345	0.002650	-0.897769
34942		4.847375	-1.920081	8.203443	0.001871	-0.005196	-0.000484	-0.623779	0.457031	-0.256836	0.340482	-0.279363	0.002608	-0.897787
34943		4.857988	-1.909767	8.194016	-0.000760	-0.002359	0.002995	-0.629150	0.454346	-0.254639	0.340766	-0.279314	0.002634	-0.897695
