// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
34823		3.930879	1.135883	8.807100	-0.005915	-0.001525	-0.002998	-0.512695	0.532471	-0.679688	0.563230	-0.134746	-0.168501	-0.797636
34824		3.946171	1.130790	8.791400	-0.008664	-0.003959	-0.002674	-0.506592	0.536133	-0.668701	0.563180	-0.134841	-0.168447	-0.797667
34825		3.971872	1.155493	8.790033	-0.011359	-0.004091	-0.000453	-0.498779	0.529785	-0.675049	0.563168	-0.134955	-0.168341	-0.797678
34826		3.974796	1.115820	8.813530	-0.014425	-0.000301	0.000646	-0.512695	0.538574	-0.682373	0.563231	-0.134988	-0.168133	-0.797671
34827		3.971128	1.112716	8.804821	-0.006698	0.002570	-0.001540	-0.497314	0.538086	-0.673828	0.563234	-0.134989	-0.168033	-0.797690
34828		3.959035	1.122359	8.798085	0.000155	0.003483	-0.000461	-0.507568	0.531494	-0.670898	0.563340	-0.134870	-0.167934	-0.797657
34829		3.958551	1.094816	8.811237	0.001812	0.001347	-0.005185	-0.498535	0.535645	-0.676270	0.563293	-0.134846	-0.167958	-0.797689
34830		3.949120	1.098034	8.814435	0.009069	0.000365	-0.006058	-0.503906	0.537354	-0.673828	0.563338	-0.134705	-0.167991	-0.797674
34831		3.956609	1.140171	8.818206	0.011354	0.000670	-0.005700	-0.507080	0.529785	-0.675049	0.563350	-0.134592	-0.168076	-0.797667
34832		3.963968	1.137633	8.784238	0.009894	0.003443	-0.005068	-0.503906	0.527344	-0.672119	0.563333	-0.134486	-0.168163	-0.797678
34833		3.968022	1.123044	8.804910	0.011306	0.000090	-0.008231	-0.508789	0.522461	-0.676514	0.563285	-0.134395	-0.168299	-0.797699
34834		3.977449	1.101747	8.845113	0.021175	0.006658	-0.004706	-0.505615	0.528809	-0.674805	0.563274	-0.134197	-0.168511	-0.797695
34835		3.971091	1.120730	8.856096	0.036924	0.007598	-0.008058	-0.511719	0.530518	-0.673096	0.563297	-0.133891	-0.168827	-0.797664
34836		3.980318	1.098963	8.844045	0.052292	0.010731	-0.011924	-0.501709	0.536377	-0.673828	0.563279	-0.133498	-0.169291	-0.797644
34837		3.939010	1.160805	8.801012	0.058680	0.007798	-0.016988	-0.503662	0.528809	-0.681885	0.563295	-0.133035	-0.169771	-0.797608
34838		3.943276	1.182588	8.786519	0.057912	0.010458	-0.017390	-0.505371	0.527588	-0.680664	0.563297	-0.132512	-0.170267	-0.797587
34839		3.905029	1.188982	8.778931	0.049116	0.013328	-0.015993	-0.504395	0.527100	-0.676514	0.563289	-0.132044	-0.170672	-0.797584
34840		3.886134	1.199170	8.763848	0.033318	0.010078	-0.014524	-0.510742	0.530762	-0.676025	0.563256	-0.131726	-0.170948	-0.797601
34841		3.870936	1.219199	8.777810	0.015084	-0.000399	-0.011630	-0.504150	0.527588	-0.681396	0.563180	-0.131715	-0.171101	-0.797624
34842		3.919984	1.210648	8.802167	0.005751	-0.003970	-0.008301	-0.499512	0.525146	-0.674072	0.563148	-0.131712	-0.171171	-0.797632
34843		3.916620	1.201150	8.793792	-0.003769	-0.008169	-0.008293	-0.507812	0.524414	-0.671387	0.563089	-0.131789	-0.171196	-0.797655
34844		3.921298	1.201250	8.802442	-0.009610	-0.005381	-0.005047	-0.505859	0.529053	-0.678467	0.563004	-0.131965	-0.171169	-0.797692
34845		3.921344	1.189275	8.803630	-0.015428	-0.005746	-0.002973	-0.508545	0.531494	-0.679688	0.562982	-0.132165	-0.171029	-0.797705
