Format Version,1.23,Take Name,t0_static_pose_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-10-30 01.00.16.505 PM,Capture Start Frame,98097,Total Frames in Take,1081,Total Exported Frames,1081,Rotation Type,YZX,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,LeftFoot:L1MT,LeftFoot:L1MT,LeftFoot:L1MT,LeftFoot:L2MT,LeftFoot:L2MT,LeftFoot:L2MT,LeftFoot:L5MT,LeftFoot:L5MT,LeftFoot:L5MT,LeftFoot:LCAL,LeftFoot:LCAL,LeftFoot:LCAL,LeftShank:LFBH,LeftShank:LFBH,LeftShank:LFBH,LeftShank:LLML,LeftShank:LLML,LeftShank:LLML,LeftShank:LMML,LeftShank:LMML,LeftShank:LMML,LeftShank:LSH1,LeftShank:LSH1,LeftShank:LSH1,LeftShank:LSH2,LeftShank:LSH2,LeftShank:LSH2,LeftShank:LSH3,LeftShank:LSH3,LeftShank:LSH3,LeftShank:LSH4,LeftShank:LSH4,LeftShank:LSH4,LeftShank:LTTB,LeftShank:LTTB,LeftShank:LTTB,LeftThigh:LGTR,LeftThigh:LGTR,LeftThigh:LGTR,LeftThigh:LLEP,LeftThigh:LLEP,LeftThigh:LLEP,LeftThigh:LMEP,LeftThigh:LMEP,LeftThigh:LMEP,LeftThigh:LTH1,LeftThigh:LTH1,LeftThigh:LTH1,LeftThigh:LTH2,LeftThigh:LTH2,LeftThigh:LTH2,LeftThigh:LTH3,LeftThigh:LTH3,LeftThigh:LTH3,LeftThigh:LTH4,LeftThigh:LTH4,LeftThigh:LTH4,Pelvis:LASI,Pelvis:LASI,Pelvis:LASI,Pelvis:LPS1,Pelvis:LPS1,Pelvis:LPS1,Pelvis:LPS2,Pelvis:LPS2,Pelvis:LPS2,Pelvis:RASI,Pelvis:RASI,Pelvis:RASI,Pelvis:RPS1,Pelvis:RPS1,Pelvis:RPS1,Pelvis:RPS2,Pelvis:RPS2,Pelvis:RPS2,RightFoot:R1MT,RightFoot:R1MT,RightFoot:R1MT,RightFoot:R2MT,RightFoot:R2MT,RightFoot:R2MT,RightFoot:R5MT,RightFoot:R5MT,RightFoot:R5MT,RightFoot:RCAL,RightFoot:RCAL,RightFoot:RCAL,RightShank:RFBH,RightShank:RFBH,RightShank:RFBH,RightShank:RLML,RightShank:RLML,RightShank:RLML,RightShank:RMML,RightShank:RMML,RightShank:RMML,RightShank:RSH1,RightShank:RSH1,RightShank:RSH1,RightShank:RSH2,RightShank:RSH2,RightShank:RSH2,RightShank:RSH3,RightShank:RSH3,RightShank:RSH3,RightShank:RSH4,RightShank:RSH4,RightShank:RSH4,RightShank:RTTB,RightShank:RTTB,RightShank:RTTB,RightThigh:RGTR,RightThigh:RGTR,RightThigh:RGTR,RightThigh:RLEP,RightThigh:RLEP,RightThigh:RLEP,RightThigh:RMEP,RightThigh:RMEP,RightThigh:RMEP,RightThigh:RTH1,RightThigh:RTH1,RightThigh:RTH1,RightThigh:RTH2,RightThigh:RTH2,RightThigh:RTH2,RightThigh:RTH3,RightThigh:RTH3,RightThigh:RTH3,RightThigh:RTH4,RightThigh:RTH4,RightThigh:RTH4,Trunk:APEX,Trunk:APEX,Trunk:APEX
,ID,"AA2EAC5179D611EE82562BF10474289F","AA2EAC5179D611EE82562BF10474289F","AA2EAC5179D611EE82562BF10474289F","B04A1D2679D611EE82562BF10474289F","B04A1D2679D611EE82562BF10474289F","B04A1D2679D611EE82562BF10474289F","B04A1C2579D611EE82562BF10474289F","B04A1C2579D611EE82562BF10474289F","B04A1C2579D611EE82562BF10474289F","AA2EACD579D611EE82562BF10474289F","AA2EACD579D611EE82562BF10474289F","AA2EACD579D611EE82562BF10474289F","A38756B179D611EE82562BF10474289F","A38756B179D611EE82562BF10474289F","A38756B179D611EE82562BF10474289F","A387561779D611EE82562BF10474289F","A387561779D611EE82562BF10474289F","A387561779D611EE82562BF10474289F","AA2EAB3A79D611EE82562BF10474289F","AA2EAB3A79D611EE82562BF10474289F","AA2EAB3A79D611EE82562BF10474289F","A387519E79D611EE82562BF10474289F","A387519E79D611EE82562BF10474289F","A387519E79D611EE82562BF10474289F","A387534F79D611EE82562BF10474289F","A387534F79D611EE82562BF10474289F","A387534F79D611EE82562BF10474289F","A387546679D611EE82562BF10474289F","A387546679D611EE82562BF10474289F","A387546679D611EE82562BF10474289F","A38752B579D611EE82562BF10474289F","A38752B579D611EE82562BF10474289F","A38752B579D611EE82562BF10474289F","A387550079D611EE82562BF10474289F","A387550079D611EE82562BF10474289F","A387550079D611EE82562BF10474289F","94B7EA6979D611EE82562BF10474289F","94B7EA6979D611EE82562BF10474289F","94B7EA6979D611EE82562BF10474289F","94B7E9D679D611EE82562BF10474289F","94B7E9D679D611EE82562BF10474289F","94B7E9D679D611EE82562BF10474289F","9B08B8BF79D611EE82562BF10474289F","9B08B8BF79D611EE82562BF10474289F","9B08B8BF79D611EE82562BF10474289F","94B7E70D79D611EE82562BF10474289F","94B7E70D79D611EE82562BF10474289F","94B7E70D79D611EE82562BF10474289F","94B7E8B079D611EE82562BF10474289F","94B7E8B079D611EE82562BF10474289F","94B7E8B079D611EE82562BF10474289F","94B7E94379D611EE82562BF10474289F","94B7E94379D611EE82562BF10474289F","94B7E94379D611EE82562BF10474289F","94B7E7A079D611EE82562BF10474289F","94B7E7A079D611EE82562BF10474289F","94B7E7A079D611EE82562BF10474289F","BE5007E579D611EE82562BF10474289F","BE5007E579D611EE82562BF10474289F","BE5007E579D611EE82562BF10474289F","BE50064E79D611EE82562BF10474289F","BE50064E79D611EE82562BF10474289F","BE50064E79D611EE82562BF10474289F","BE500B0379D611EE82562BF10474289F","BE500B0379D611EE82562BF10474289F","BE500B0379D611EE82562BF10474289F","BE5006DB79D611EE82562BF10474289F","BE5006DB79D611EE82562BF10474289F","BE5006DB79D611EE82562BF10474289F","BE5009F979D611EE82562BF10474289F","BE5009F979D611EE82562BF10474289F","BE5009F979D611EE82562BF10474289F","BE5008EF79D611EE82562BF10474289F","BE5008EF79D611EE82562BF10474289F","BE5008EF79D611EE82562BF10474289F","B04A1E2779D611EE82562BF10474289F","B04A1E2779D611EE82562BF10474289F","B04A1E2779D611EE82562BF10474289F","B04A1F2879D611EE82562BF10474289F","B04A1F2879D611EE82562BF10474289F","B04A1F2879D611EE82562BF10474289F","B7235ABE79D611EE82562BF10474289F","B7235ABE79D611EE82562BF10474289F","B7235ABE79D611EE82562BF10474289F","B04A202979D611EE82562BF10474289F","B04A202979D611EE82562BF10474289F","B04A202979D611EE82562BF10474289F","843881C179D611EE82562BF10474289F","843881C179D611EE82562BF10474289F","843881C179D611EE82562BF10474289F","843880AA79D611EE82562BF10474289F","843880AA79D611EE82562BF10474289F","843880AA79D611EE82562BF10474289F","7E21A7EC79D611EE82562BF10474289F","7E21A7EC79D611EE82562BF10474289F","7E21A7EC79D611EE82562BF10474289F","7E21A48A79D611EE82562BF10474289F","7E21A48A79D611EE82562BF10474289F","7E21A48A79D611EE82562BF10474289F","7E21A6D579D611EE82562BF10474289F","7E21A6D579D611EE82562BF10474289F","7E21A6D579D611EE82562BF10474289F","7E21A5BE79D611EE82562BF10474289F","7E21A5BE79D611EE82562BF10474289F","7E21A5BE79D611EE82562BF10474289F","7E21A52479D611EE82562BF10474289F","7E21A52479D611EE82562BF10474289F","7E21A52479D611EE82562BF10474289F","843882D879D611EE82562BF10474289F","843882D879D611EE82562BF10474289F","843882D879D611EE82562BF10474289F","67A099B579D611EE82562BF10474289F","67A099B579D611EE82562BF10474289F","67A099B579D611EE82562BF10474289F","67A0992279D611EE82562BF10474289F","67A0992279D611EE82562BF10474289F","67A0992279D611EE82562BF10474289F","6E990CEF79D611EE82562BF10474289F","6E990CEF79D611EE82562BF10474289F","6E990CEF79D611EE82562BF10474289F","7581144279D611EE82562BF10474289F","7581144279D611EE82562BF10474289F","7581144279D611EE82562BF10474289F","758114D579D611EE82562BF10474289F","758114D579D611EE82562BF10474289F","758114D579D611EE82562BF10474289F","758115E579D611EE82562BF10474289F","758115E579D611EE82562BF10474289F","758115E579D611EE82562BF10474289F","7581167879D611EE82562BF10474289F","7581167879D611EE82562BF10474289F","7581167879D611EE82562BF10474289F","B7235B4279D611EE82562BF10474289F","B7235B4279D611EE82562BF10474289F","B7235B4279D611EE82562BF10474289F"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.499596,0.047554,-4.736365,-1.489540,0.050761,-4.785816,-1.522681,0.019359,-4.844557,-1.709216,0.030608,-4.775922,-1.617094,0.478620,-4.835231,-1.638698,0.070976,-4.816945,-1.617963,0.087817,-4.727488,-1.684768,0.367967,-4.889616,-1.669374,0.268593,-4.864964,-1.610861,0.276746,-4.864648,-1.622758,0.357160,-4.885177,-1.570207,0.448898,-4.795702,-1.584393,0.977226,-4.845595,-1.620398,0.509593,-4.835798,-1.627481,0.494154,-4.713020,-1.628856,0.745990,-4.858320,-1.628548,0.641955,-4.847061,-1.568758,0.642048,-4.846855,-1.569107,0.726209,-4.855160,-1.522632,1.024950,-4.784377,-1.731644,1.120599,-4.694948,-1.745561,1.038329,-4.710870,-1.530094,1.029299,-4.535132,-1.728079,1.129395,-4.633353,-1.748273,1.029791,-4.653289,-1.497774,0.038789,-4.585370,-1.492957,0.050467,-4.535455,-1.543046,0.026526,-4.479964,-1.710620,0.037388,-4.573496,-1.622726,0.457229,-4.485667,-1.645989,0.076465,-4.514738,-1.617411,0.089600,-4.602988,-1.588484,0.335057,-4.452044,-1.598918,0.234844,-4.478245,-1.659458,0.238519,-4.466958,-1.650429,0.319976,-4.446212,-1.556983,0.447107,-4.538202,-1.601047,0.976860,-4.474716,-1.608283,0.505316,-4.491227,-1.605580,0.479462,-4.604877,-1.568422,0.731860,-4.463749,-1.579976,0.628851,-4.476383,-1.638863,0.635494,-4.479233,-1.629710,0.718782,-4.467547,-1.654945,1.767138,-4.676211
1,0.010000,-1.499586,0.047583,-4.736394,-1.489515,0.050798,-4.785823,-1.522695,0.019358,-4.844550,-1.709210,0.030601,-4.775927,-1.617076,0.478621,-4.835236,-1.638688,0.070968,-4.816963,-1.617972,0.087846,-4.727469,-1.684738,0.367956,-4.889610,-1.669368,0.268580,-4.864978,-1.610841,0.276719,-4.864625,-1.622739,0.357141,-4.885139,-1.570188,0.448904,-4.795691,-1.584369,0.977231,-4.845554,-1.620379,0.509592,-4.835801,-1.627470,0.494154,-4.713012,-1.628843,0.745975,-4.858292,-1.628536,0.641955,-4.847037,-1.568741,0.642037,-4.846846,-1.569075,0.726216,-4.855138,-1.522656,1.024934,-4.784334,-1.731621,1.120570,-4.694924,-1.745457,1.038203,-4.710770,-1.530099,1.029287,-4.535084,-1.728054,1.129372,-4.633326,-1.748277,1.029808,-4.653239,-1.497779,0.038796,-4.585387,-1.492929,0.050492,-4.535462,-1.543039,0.026528,-4.479980,-1.710606,0.037351,-4.573506,-1.622784,0.457229,-4.485615,-1.646103,0.076442,-4.514702,-1.617456,0.089579,-4.602970,-1.588506,0.335038,-4.452027,-1.598899,0.234832,-4.478257,-1.659500,0.238495,-4.466956,-1.650455,0.319949,-4.446209,-1.557027,0.447103,-4.538182,-1.601205,0.976936,-4.474620,-1.608287,0.505306,-4.491205,-1.605614,0.479460,-4.604836,-1.568445,0.731840,-4.463718,-1.579994,0.628845,-4.476375,-1.638882,0.635486,-4.479212,-1.629752,0.718794,-4.467506,-1.654955,1.767115,-4.676252
2,0.020000,-1.499718,0.047433,-4.736284,-1.489555,0.050775,-4.785840,-1.522702,0.019372,-4.844535,-1.709054,0.030612,-4.775959,-1.617120,0.478617,-4.835191,-1.638696,0.070992,-4.816962,-1.617984,0.087812,-4.727477,-1.684735,0.367961,-4.889594,-1.669352,0.268589,-4.864952,-1.610830,0.276746,-4.864619,-1.622736,0.357151,-4.885118,-1.570217,0.448888,-4.795639,-1.584419,0.977238,-4.845512,-1.620383,0.509602,-4.835773,-1.627484,0.494143,-4.712978,-1.628874,0.745982,-4.858253,-1.628526,0.641991,-4.847016,-1.568768,0.642043,-4.846819,-1.569111,0.726242,-4.855121,-1.522652,1.024969,-4.784293,-1.731619,1.120564,-4.694900,-1.745579,1.038293,-4.710804,-1.530113,1.029292,-4.535052,-1.728065,1.129371,-4.633295,-1.748304,1.029807,-4.653203,-1.497789,0.038805,-4.585379,-1.492912,0.050501,-4.535476,-1.543030,0.026518,-4.479976,-1.710625,0.037357,-4.573491,-1.622975,0.457073,-4.485608,-1.646170,0.076459,-4.514592,-1.617435,0.089599,-4.602955,-1.588522,0.335040,-4.452003,-1.598969,0.234837,-4.478217,-1.659539,0.238462,-4.466945,-1.650502,0.319940,-4.446184,-1.557055,0.447112,-4.538150,-1.601188,0.976934,-4.474613,-1.608320,0.505308,-4.491179,-1.605645,0.479490,-4.604803,-1.568465,0.731837,-4.463694,-1.580014,0.628815,-4.476346,-1.638908,0.635461,-4.479182,-1.629753,0.718758,-4.467516,-1.654996,1.767124,-4.676284
3,0.030000,-1.499753,0.047339,-4.736273,-1.489598,0.050756,-4.785811,-1.522692,0.019399,-4.844533,-1.709183,0.030597,-4.775932,-1.617097,0.478608,-4.835183,-1.638673,0.070992,-4.816949,-1.617979,0.087816,-4.727492,-1.684707,0.367988,-4.889580,-1.669325,0.268596,-4.864924,-1.610814,0.276771,-4.864600,-1.622716,0.357163,-4.885108,-1.570199,0.448878,-4.795634,-1.584412,0.977244,-4.845476,-1.620383,0.509622,-4.835772,-1.627469,0.494143,-4.712980,-1.628870,0.746004,-4.858227,-1.628528,0.642008,-4.846986,-1.568729,0.642054,-4.846805,-1.569082,0.726260,-4.855082,-1.522657,1.024992,-4.784245,-1.731628,1.120569,-4.694861,-1.745568,1.038297,-4.710770,-1.530124,1.029288,-4.535011,-1.728068,1.129383,-4.633269,-1.748312,1.029818,-4.653159,-1.497796,0.038816,-4.585383,-1.492929,0.050507,-4.535453,-1.543031,0.026494,-4.479986,-1.710626,0.037356,-4.573491,-1.622874,0.457178,-4.485581,-1.646235,0.076503,-4.514528,-1.617409,0.089628,-4.602962,-1.588577,0.335065,-4.451963,-1.599025,0.234828,-4.478193,-1.659566,0.238479,-4.466947,-1.650556,0.319947,-4.446160,-1.557067,0.447122,-4.538151,-1.601111,0.976823,-4.474625,-1.608352,0.505297,-4.491159,-1.605670,0.479514,-4.604783,-1.568472,0.731828,-4.463654,-1.580044,0.628829,-4.476309,-1.638915,0.635459,-4.479160,-1.629776,0.718746,-4.467480,-1.655022,1.767154,-4.676318
4,0.040000,-1.499601,0.047509,-4.736331,-1.489593,0.050757,-4.785800,-1.522694,0.019368,-4.844526,-1.709226,0.030587,-4.775928,-1.617066,0.478613,-4.835182,-1.638687,0.070960,-4.816938,-1.617982,0.087821,-4.727484,-1.684719,0.367964,-4.889575,-1.669381,0.268643,-4.864995,-1.610836,0.276730,-4.864584,-1.622716,0.357172,-4.885107,-1.570203,0.448866,-4.795618,-1.584432,0.977235,-4.845455,-1.620385,0.509606,-4.835755,-1.627455,0.494132,-4.712984,-1.628870,0.745993,-4.858225,-1.628538,0.641963,-4.846958,-1.568739,0.642050,-4.846806,-1.569108,0.726246,-4.855074,-1.522694,1.024972,-4.784230,-1.731663,1.120560,-4.694813,-1.745586,1.038296,-4.710743,-1.530155,1.029296,-4.534988,-1.728081,1.129355,-4.633224,-1.748343,1.029809,-4.653113,-1.497835,0.038826,-4.585386,-1.492986,0.050492,-4.535439,-1.543041,0.026508,-4.479978,-1.710638,0.037341,-4.573468,-1.623023,0.457097,-4.485553,-1.646230,0.076479,-4.514514,-1.617452,0.089593,-4.602955,-1.588651,0.335027,-4.451936,-1.599129,0.234722,-4.478172,-1.659599,0.238483,-4.466931,-1.650595,0.319940,-4.446148,-1.557121,0.447117,-4.538121,-1.601111,0.976811,-4.474586,-1.608406,0.505305,-4.491121,-1.605718,0.479478,-4.604755,-1.568508,0.731812,-4.463619,-1.580079,0.628819,-4.476285,-1.638946,0.635461,-4.479122,-1.629810,0.718749,-4.467436,-1.655078,1.767140,-4.676371
5,0.050000,-1.499721,0.047438,-4.736279,-1.489603,0.050769,-4.785804,-1.522726,0.019356,-4.844528,-1.709210,0.030563,-4.775942,-1.617062,0.478609,-4.835176,-1.638720,0.070945,-4.816952,-1.617969,0.087814,-4.727489,-1.684719,0.367942,-4.889560,-1.669357,0.268579,-4.864950,-1.610844,0.276707,-4.864595,-1.622717,0.357151,-4.885095,-1.570183,0.448866,-4.795626,-1.584449,0.977222,-4.845431,-1.620397,0.509578,-4.835736,-1.627467,0.494130,-4.712975,-1.628895,0.745976,-4.858205,-1.628564,0.641958,-4.846946,-1.568764,0.642034,-4.846777,-1.569126,0.726237,-4.855065,-1.522714,1.024947,-4.784195,-1.731653,1.120538,-4.694801,-1.745604,1.038259,-4.710719,-1.530169,1.029278,-4.534945,-1.728071,1.129354,-4.633210,-1.748353,1.029827,-4.653084,-1.497833,0.038817,-4.585370,-1.492981,0.050533,-4.535436,-1.543051,0.026521,-4.479969,-1.710664,0.037321,-4.573473,-1.622950,0.457159,-4.485535,-1.646224,0.076437,-4.514548,-1.617510,0.089547,-4.602933,-1.588874,0.335020,-4.451856,-1.599188,0.234757,-4.478127,-1.659651,0.238461,-4.466938,-1.650638,0.319917,-4.446157,-1.557161,0.447114,-4.538124,-1.601301,0.976923,-4.474478,-1.608439,0.505299,-4.491094,-1.605754,0.479469,-4.604727,-1.568543,0.731795,-4.463584,-1.580104,0.628819,-4.476258,-1.638995,0.635452,-4.479078,-1.629858,0.718756,-4.467402,-1.655147,1.767107,-4.676410
