// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
37857		5.531723	-0.440722	7.978901	-0.002878	-0.009681	0.002115	-0.660645	-0.410645	-0.097412	-0.340339	-0.270112	0.128533	-0.891453
37858		5.548161	-0.452049	7.989825	-0.001761	-0.005499	0.003930	-0.668213	-0.415039	-0.097168	-0.340293	-0.270159	0.128589	-0.891448
37859		5.539037	-0.455526	7.975756	-0.002363	-0.005976	0.004741	-0.668457	-0.416504	-0.095459	-0.340238	-0.270210	0.128657	-0.891444
37860		5.523028	-0.464396	7.989574	-0.002265	-0.006541	0.004952	-0.668701	-0.410156	-0.086426	-0.340179	-0.270265	0.128727	-0.891439
37861		5.535295	-0.467818	7.980642	-0.001414	-0.006874	0.001804	-0.670166	-0.416504	-0.094238	-0.340152	-0.270331	0.128780	-0.891422
37862		5.539966	-0.450956	7.966714	0.000542	-0.006891	0.002550	-0.671875	-0.413818	-0.100830	-0.340110	-0.270403	0.128816	-0.891411
37863		5.543477	-0.453334	7.993229	-0.002115	-0.006786	0.002405	-0.666504	-0.410645	-0.092285	-0.340077	-0.270464	0.128882	-0.891395
37864		5.534515	-0.456399	7.979071	-0.000258	-0.006239	0.002939	-0.668457	-0.417480	-0.098145	-0.340034	-0.270525	0.128927	-0.891387
37865		5.531048	-0.444157	7.979417	-0.000885	-0.006876	0.005129	-0.663574	-0.416504	-0.094727	-0.339966	-0.270584	0.128990	-0.891386
37866		5.540141	-0.464959	7.983331	-0.003197	-0.008145	0.002860	-0.669189	-0.421631	-0.098633	-0.339930	-0.270651	0.129075	-0.891367
37867		5.539800	-0.459402	7.989782	0.001268	-0.006819	0.000568	-0.669434	-0.407959	-0.095703	-0.339906	-0.270721	0.129100	-0.891351
37868		5.535339	-0.445613	7.976360	-0.000712	-0.006961	0.001203	-0.668213	-0.420410	-0.092285	-0.339877	-0.270782	0.129151	-0.891336
37869		5.542274	-0.430703	7.989850	-0.000699	-0.007483	0.003377	-0.680176	-0.413086	-0.098877	-0.339829	-0.270846	0.129207	-0.891327
37870		5.537788	-0.471048	7.993518	-0.002716	-0.007263	0.003217	-0.664062	-0.414062	-0.094971	-0.339783	-0.270891	0.129282	-0.891320
37871		5.557235	-0.468948	7.956418	0.000901	-0.008788	0.002596	-0.670898	-0.411621	-0.100586	-0.339738	-0.270971	0.129320	-0.891307
37872		5.541582	-0.447510	7.971918	0.000506	-0.009713	0.000276	-0.663574	-0.419434	-0.085938	-0.339711	-0.271057	0.129368	-0.891285
37873		5.553358	-0.445396	7.984068	-0.002310	-0.005656	0.001983	-0.665771	-0.420654	-0.094482	-0.339693	-0.271110	0.129422	-0.891267
37874		5.528653	-0.462457	7.977402	-0.002074	-0.003964	0.004676	-0.671143	-0.412109	-0.097412	-0.339654	-0.271124	0.129476	-0.891270
37875		5.537602	-0.458667	7.962488	0.000371	-0.005602	0.000746	-0.668701	-0.419434	-0.091553	-0.339625	-0.271157	0.129505	-0.891267
37876		5.539560	-0.459714	7.975631	-0.000146	-0.002938	0.001071	-0.667236	-0.422119	-0.098389	-0.339616	-0.271176	0.129520	-0.891263
37877		5.549418	-0.456739	7.974598	-0.001251	-0.004457	0.002906	-0.662598	-0.412354	-0.103271	-0.339606	-0.271181	0.129562	-0.891259
37878		5.535991	-0.471851	7.994989	0.000668	-0.004113	0.002854	-0.669189	-0.424805	-0.098633	-0.339576	-0.271173	0.129589	-0.891269
37879		5.537189	-0.448060	7.975202	-0.000611	-0.004342	0.002889	-0.668457	-0.408447	-0.097900	-0.339579	-0.271172	0.129623	-0.891263
37880		5.541067	-0.455378	7.980743	-0.000330	-0.005514	0.001347	-0.671387	-0.408936	-0.100342	-0.339524	-0.271188	0.129660	-0.891274
37881		5.535943	-0.441930	7.967766	-0.001066	-0.001881	0.002630	-0.672607	-0.412354	-0.096436	-0.339463	-0.271142	0.129698	-0.891305
37882		5.548310	-0.445935	7.973242	-0.000465	-0.001404	0.001818	-0.657227	-0.409668	-0.099854	-0.339414	-0.271116	0.129715	-0.891329
37883		5.551595	-0.453430	7.979184	-0.000990	-0.002605	0.004219	-0.675049	-0.416992	-0.089600	-0.339394	-0.271090	0.129745	-0.891341
37884		5.542678	-0.457627	7.979496	-0.001445	-0.000144	0.003961	-0.665771	-0.419922	-0.104736	-0.339325	-0.271090	0.129760	-0.891365
37885		5.536451	-0.439437	7.988046	-0.000869	-0.003010	0.003051	-0.666260	-0.409180	-0.104492	-0.339371	-0.271031	0.129791	-0.891361
37886		5.534992	-0.438575	7.959972	-0.003793	-0.005437	0.005149	-0.665039	-0.414795	-0.092285	-0.339312	-0.270977	0.129880	-0.891386
