// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
37856		5.625308	1.278160	7.866937	0.005212	-0.003248	-0.002300	-0.636963	-0.224121	-0.290771	-0.212039	-0.311081	0.000524	-0.926427
37857		5.600368	1.280226	7.840297	0.002200	-0.004588	0.000130	-0.629883	-0.217041	-0.286865	-0.212029	-0.311140	0.000511	-0.926410
37858		5.630721	1.289458	7.840204	0.002015	-0.003186	-0.000229	-0.636475	-0.219971	-0.285645	-0.212019	-0.311183	0.000499	-0.926398
37859		5.614424	1.281755	7.834006	0.001374	-0.002358	-0.000093	-0.636230	-0.219238	-0.284424	-0.212015	-0.311214	0.000488	-0.926388
37860		5.608682	1.280466	7.854378	0.002236	-0.003470	-0.001036	-0.636963	-0.215088	-0.276611	-0.212019	-0.311262	0.000467	-0.926371
37861		5.624557	1.273756	7.853096	0.004301	-0.004396	-0.001311	-0.640625	-0.220947	-0.284668	-0.212017	-0.311325	0.000422	-0.926350
37862		5.614639	1.278945	7.844821	0.003845	-0.004971	-0.000816	-0.641357	-0.220459	-0.287842	-0.212012	-0.311394	0.000387	-0.926329
37863		5.626256	1.275658	7.851570	0.004208	-0.003696	-0.001490	-0.640381	-0.213135	-0.279785	-0.212013	-0.311449	0.000341	-0.926310
37864		5.616088	1.281091	7.843434	0.004558	-0.003563	-0.003283	-0.638916	-0.216553	-0.286133	-0.212033	-0.311504	0.000285	-0.926287
37865		5.623532	1.270962	7.839188	0.006273	-0.004623	-0.001766	-0.633301	-0.219482	-0.281738	-0.212029	-0.311575	0.000217	-0.926264
37866		5.606882	1.288376	7.834305	0.006716	-0.005192	-0.003379	-0.639160	-0.225098	-0.286865	-0.212042	-0.311655	0.000141	-0.926234
37867		5.612475	1.273408	7.842700	0.004978	-0.004109	-0.002612	-0.640381	-0.210205	-0.284180	-0.212055	-0.311717	0.000083	-0.926210
37868		5.610792	1.283012	7.837357	0.005633	-0.003796	-0.001630	-0.639160	-0.221924	-0.282227	-0.212046	-0.311775	0.000028	-0.926193
37869		5.620187	1.274911	7.857014	0.003803	-0.002011	-0.001043	-0.651367	-0.219238	-0.287354	-0.212045	-0.311808	-0.000014	-0.926182
37870		5.606102	1.259467	7.855506	0.003803	-0.002011	-0.001043	-0.634277	-0.219482	-0.285400	-0.212037	-0.311838	-0.000050	-0.926174
37871		5.614194	1.301625	7.841993	0.004803	-0.006788	-0.001578	-0.639404	-0.213623	-0.289062	-0.212038	-0.311914	-0.000085	-0.926148
37872		5.611852	1.271405	7.828379	0.002552	-0.004459	-0.001661	-0.633057	-0.222412	-0.276611	-0.212040	-0.311953	-0.000097	-0.926134
37873		5.627590	1.275313	7.846101	0.002773	-0.004744	-0.002468	-0.634521	-0.224609	-0.281738	-0.212065	-0.312015	-0.000127	-0.926107
37874		5.608539	1.287163	7.854376	0.003965	-0.000478	-0.003196	-0.638672	-0.216553	-0.285400	-0.212098	-0.312022	-0.000182	-0.926098
37875		5.623754	1.280882	7.853490	0.003731	-0.001336	-0.003507	-0.639404	-0.226807	-0.277588	-0.212116	-0.312026	-0.000220	-0.926092
37876		5.617561	1.283036	7.837488	0.003918	-0.002739	-0.003147	-0.637695	-0.223633	-0.283936	-0.212152	-0.312071	-0.000274	-0.926069
37877		5.620053	1.286519	7.860770	0.004259	-0.001439	-0.001539	-0.631104	-0.212891	-0.291260	-0.212163	-0.312080	-0.000321	-0.926063
37878		5.618191	1.285064	7.836703	0.002928	-0.002042	-0.001218	-0.639648	-0.227295	-0.286133	-0.212152	-0.312054	-0.000328	-0.926074
37879		5.614159	1.289175	7.844469	0.003383	-0.001468	-0.001714	-0.639893	-0.210693	-0.288574	-0.212184	-0.312055	-0.000371	-0.926067
37880		5.627719	1.277760	7.856155	0.003590	-0.002897	-0.003638	-0.642334	-0.213867	-0.286865	-0.212167	-0.312058	-0.000381	-0.926069
37881		5.613428	1.265242	7.818160	0.003497	-0.002196	-0.003818	-0.644287	-0.215820	-0.281982	-0.212158	-0.312064	-0.000396	-0.926070
37882		5.623794	1.283653	7.863555	0.004875	0.000667	-0.004187	-0.630615	-0.214111	-0.287842	-0.212145	-0.312070	-0.000440	-0.926071
37883		5.611172	1.273740	7.849582	0.003859	-0.000923	-0.004493	-0.643066	-0.220947	-0.277588	-0.212175	-0.312036	-0.000469	-0.926075
37884		5.616972	1.287357	7.847744	0.004340	0.001939	-0.002755	-0.637695	-0.223877	-0.292236	-0.212171	-0.312052	-0.000524	-0.926071
37885		5.599740	1.280420	7.842137	0.003558	0.001208	-0.002750	-0.636230	-0.209717	-0.292969	-0.212223	-0.311974	-0.000565	-0.926085
37886		5.610208	1.287768	7.868619	0.002087	-0.000955	-0.002560	-0.634766	-0.218506	-0.282227	-0.212184	-0.311901	-0.000533	-0.926118
37887		5.617314	1.266666	7.845799	0.004608	-0.001310	-0.003331	-0.631348	-0.218018	-0.279541	-0.212205	-0.311912	-0.000581	-0.926110
37888		5.608941	1.274535	7.861608	0.004247	-0.002584	-0.002655	-0.635742	-0.224121	-0.284424	-0.212225	-0.311951	-0.000622	-0.926092
37889		5.607170	1.273131	7.837466	0.002929	-0.002042	-0.001218	-0.636475	-0.225098	-0.285645	-0.212276	-0.311950	-0.000656	-0.926081
37890		5.615963	1.278227	7.839874	0.005778	-0.002240	-0.001498	-0.641357	-0.210449	-0.294189	-0.212327	-0.311952	-0.000724	-0.926068
37891		5.614584	1.274385	7.852049	0.003010	-0.003889	-0.002154	-0.641846	-0.223389	-0.286133	-0.212230	-0.311895	-0.000670	-0.926110
37892		5.615032	1.285989	7.870469	0.004214	-0.003702	-0.001488	-0.632080	-0.217529	-0.283447	-0.212246	-0.311921	-0.000701	-0.926097
37893		5.618397	1.268220	7.855341	0.003452	-0.004461	-0.003767	-0.638916	-0.217041	-0.281250	-0.212277	-0.311945	-0.000719	-0.926082
37894		5.606690	1.268723	7.859666	0.005031	-0.007079	-0.002379	-0.642578	-0.221436	-0.285156	-0.212231	-0.312048	-0.000733	-0.926058
37895		5.620057	1.294497	7.854918	0.004684	-0.007208	-0.000586	-0.640625	-0.224854	-0.281982	-0.212204	-0.312124	-0.000746	-0.926039
37896		5.622098	1.271427	7.852174	0.002617	-0.006281	-0.000310	-0.643799	-0.217529	-0.290771	-0.212234	-0.312213	-0.000767	-0.926002
37897		5.609877	1.284734	7.839190	0.005185	-0.004375	-0.001133	-0.638916	-0.221924	-0.284668	-0.212162	-0.312193	-0.000759	-0.926025
37898		5.626302	1.265304	7.855186	0.005312	-0.003960	-0.002120	-0.632080	-0.224121	-0.288574	-0.212184	-0.312223	-0.000804	-0.926010
37899		5.616179	1.270760	7.847000	0.004436	-0.003990	-0.002295	-0.635254	-0.220459	-0.290771	-0.212304	-0.312174	-0.000855	-0.925999
37900		5.605839	1.286872	7.857868	0.004984	-0.004119	-0.002611	-0.646240	-0.226074	-0.281494	-0.212347	-0.312109	-0.000879	-0.926011
37901		5.613072	1.287255	7.872732	0.004436	-0.003991	-0.002295	-0.641357	-0.219238	-0.282227	-0.212376	-0.312217	-0.000936	-0.925968
37902		5.618444	1.274328	7.844800	0.003855	-0.004979	-0.000811	-0.640137	-0.218994	-0.293457	-0.212317	-0.312294	-0.000937	-0.925955
37903		5.616897	1.283445	7.839393	0.004089	-0.004120	-0.000502	-0.635986	-0.220459	-0.284424	-0.212281	-0.312199	-0.000918	-0.925995
37904		5.639468	1.265525	7.834610	0.005219	-0.003261	-0.002301	-0.638184	-0.216309	-0.288574	-0.212303	-0.312206	-0.000958	-0.925988
37905		5.612014	1.273678	7.839994	0.005251	-0.002145	-0.003469	-0.627930	-0.219238	-0.282471	-0.212251	-0.312146	-0.000960	-0.926020
37906		5.620814	1.279034	7.842336	0.002716	-0.002936	-0.003811	-0.633057	-0.217285	-0.281494	-0.212350	-0.312127	-0.000985	-0.926004
37907		5.629648	1.284155	7.844690	0.004356	-0.002145	-0.001360	-0.637939	-0.212158	-0.285889	-0.212318	-0.312144	-0.000999	-0.926005
37908		5.613061	1.277007	7.838703	0.002635	-0.001089	-0.002877	-0.641113	-0.217773	-0.284668	-0.212165	-0.312097	-0.000941	-0.926057
37909		5.625629	1.289441	7.852264	0.003417	-0.000358	-0.002883	-0.633789	-0.223877	-0.281494	-0.212090	-0.312089	-0.000938	-0.926076
37910		5.615520	1.270914	7.842974	0.003966	-0.000487	-0.003199	-0.636475	-0.217529	-0.290771	-0.212220	-0.312100	-0.001014	-0.926043
37911		5.617196	1.287830	7.849049	0.004514	-0.000616	-0.003515	-0.629395	-0.214844	-0.281982	-0.212210	-0.311965	-0.001011	-0.926090
37912		5.600363	1.280920	7.843204	0.003090	-0.000517	-0.003373	-0.641357	-0.218994	-0.284180	-0.212193	-0.311928	-0.001005	-0.926107
37913		5.618014	1.266430	7.846964	0.004937	-0.001159	-0.002844	-0.640381	-0.220215	-0.295410	-0.212119	-0.311950	-0.001028	-0.926116
37914		5.615475	1.286415	7.861110	0.002743	-0.000644	-0.001580	-0.638184	-0.213135	-0.285400	-0.212127	-0.311755	-0.000999	-0.926180
37915		5.609604	1.264573	7.843782	0.005202	0.000816	-0.003703	-0.638428	-0.214111	-0.281738	-0.211962	-0.311707	-0.000983	-0.926234
37916		5.585521	1.280121	7.860610	0.004654	0.000944	-0.003387	-0.631836	-0.214355	-0.277832	-0.211798	-0.311726	-0.000980	-0.926265
37917		5.615285	1.279642	7.841723	0.004811	-0.001573	-0.001856	-0.633057	-0.212891	-0.282715	-0.211697	-0.311800	-0.000991	-0.926264
37918		5.623757	1.285011	7.844289	0.004421	0.000084	-0.003696	-0.631836	-0.219238	-0.290527	-0.211593	-0.311766	-0.000973	-0.926299
37919		5.615827	1.269382	7.858666	0.006817	-0.000687	-0.003482	-0.636719	-0.219727	-0.280518	-0.211714	-0.311602	-0.001010	-0.926326
37920		5.593562	1.292687	7.826026	0.006067	-0.000304	-0.004644	-0.642090	-0.214600	-0.285645	-0.211713	-0.311664	-0.001085	-0.926306
37921		5.598254	1.288678	7.854046	0.005380	-0.001737	-0.004455	-0.641113	-0.216797	-0.282227	-0.211521	-0.311671	-0.001072	-0.926347
37922		5.613429	1.282298	7.853226	0.000145	0.000380	-0.003271	-0.633545	-0.209961	-0.284424	-0.211388	-0.311702	-0.001038	-0.926367
37923		5.607284	1.270922	7.855033	0.004749	0.000241	-0.003206	-0.622070	-0.217285	-0.284912	-0.211204	-0.311633	-0.000982	-0.926432
37924		5.591522	1.292919	7.838051	0.003533	-0.001096	-0.004985	-0.639160	-0.225342	-0.282227	-0.211466	-0.311491	-0.000990	-0.926420
37925		5.613392	1.286001	7.852647	0.004706	-0.002021	-0.003152	-0.636963	-0.216553	-0.284912	-0.211582	-0.311569	-0.001090	-0.926367
37926		5.622437	1.278241	7.872618	0.003545	0.000052	-0.003871	-0.641113	-0.222656	-0.281250	-0.211515	-0.311530	-0.001085	-0.926396
37927		5.606069	1.247771	7.865372	0.005784	0.001797	-0.005189	-0.628418	-0.213623	-0.285400	-0.211529	-0.311596	-0.001190	-0.926370
37928		5.606195	1.278737	7.854541	0.006659	0.005869	-0.008704	-0.646240	-0.219238	-0.290283	-0.211572	-0.311412	-0.001225	-0.926422
37929		5.607933	1.301280	7.848983	0.003420	0.010054	-0.005749	-0.635254	-0.218750	-0.285156	-0.211473	-0.311231	-0.001247	-0.926506
37930		5.590714	1.267956	7.879105	0.003485	0.004197	-0.000708	-0.626953	-0.223633	-0.282715	-0.211455	-0.311139	-0.001260	-0.926541
37931		5.592279	1.273783	7.866417	0.004921	-0.001127	-0.000558	-0.639404	-0.219482	-0.290283	-0.211704	-0.311106	-0.001340	-0.926495
37932		5.607744	1.267454	7.865408	0.005237	-0.002116	-0.001182	-0.630859	-0.219482	-0.283936	-0.211659	-0.311024	-0.001341	-0.926533
37933		5.594572	1.281173	7.852955	0.005628	0.000269	-0.003031	-0.638428	-0.216553	-0.287109	-0.211737	-0.310978	-0.001393	-0.926530
