time,step num,fpa
1775489826.308751,1,-65.4
1775489827.27223,2,49.7
1775489828.171398,3,-49.7
1775489829.342379,4,48.0
1775489836.241143,5,-8.9
1775489840.410103,6,-65.8
1775489841.042795,7,54.6
1775489842.959433,8,61.6
1775489844.31054,9,-53.1
1775489845.359798,10,-73.5
1775489846.383641,11,-78.5
1775489847.3702211,12,-75.0
1775489848.4225569,13,-69.2
1775489849.5332952,14,-62.0
1775489850.529484,15,-54.1
1775489853.5208719,16,-68.4
1775489854.51069,17,-68.8
1775489856.3711529,18,-81.6
1775489857.390522,19,-48.3
1775489858.590197,20,60.6
1775489860.061707,21,-37.9
1775489860.751046,22,-2.1
1775489861.3845818,23,64.1
1775489862.162366,24,-9.0
1775489864.9499688,25,31.2
1775489866.419429,26,62.5
1775489869.7191691,27,75.5
1775489871.129118,28,-34.2
1775489872.089893,29,57.6
1775489872.990873,30,52.1
1775489873.622296,31,70.9
1775489876.319044,32,-38.4
1775489877.282746,33,-54.6
1775489878.332994,34,-62.5
1775489881.210005,35,-9.5
1775489882.5291069,36,-43.9
1775489883.969785,37,-34.7
1775489884.840747,38,-1.4
1775489892.8835042,39,42.7
1775489893.631692,40,-9.0
1775489894.261935,41,-29.1
1775489895.012838,42,-55.4
1775489895.7007098,43,12.9
1775489896.299691,44,46.8
1775489896.929095,45,14.0
1775489897.7138162,46,23.0
1775489901.190611,47,23.0
1775489902.659681,48,-57.5
1775489903.687663,49,-70.9
1775489904.523666,50,-63.9
1775489905.271164,51,-0.1
1775489906.293538,52,68.5
1775489907.341259,53,-56.5
1775489908.514507,54,-78.6
1775489909.474242,55,-84.7
1775489912.0194502,56,-76.5
1775489913.04459,57,-65.6
1775489918.622713,58,57.3
1775489920.300899,59,-31.6
1775489922.0427148,60,-60.8
1775489923.301684,61,-42.6
1775489925.042721,62,45.9
1775489926.273982,63,43.0
1775489927.41172,64,39.7
1775489928.971599,65,34.7
1775489930.230378,66,71.4
1775489933.2006369,67,-7.8
1775489935.000337,68,43.4
1775489936.38145,69,-19.6
1775489937.224554,70,44.6
1775489938.092983,71,24.0
1775489944.241214,72,-38.8
1775489944.81358,73,-54.3
1775489945.682158,74,-3.7
1775489946.464152,75,0.8
1775489947.811382,76,-5.5
1775489948.8318431,77,5.6
1775489950.124662,78,-14.8
1775489951.202016,79,-42.8
1775489952.6134112,80,43.0
1775489953.600249,81,-28.6
1775489958.825291,82,-41.0
1775489959.7812521,83,-27.5
1775489961.946288,84,-58.2
1775489963.14274,85,-74.0
