time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776368333.48898,,,,,-0.5994,3.5007,9.1896,0.0205,-0.0570,-0.0205
1776368333.518353,,,,,-0.5874,3.5115,9.1860,0.0192,-0.0576,-0.0199
1776368333.5185568,,,,,-0.5803,3.5043,9.1825,0.0165,-0.0564,-0.0199
1776368333.518659,,,,,-0.6078,3.5007,9.1848,0.0157,-0.0557,-0.0194
1776368333.518749,,,,,-0.5934,3.4660,9.1932,0.0145,-0.0564,-0.0186
1776368333.519674,,,,,-0.5767,3.4540,9.2052,0.0165,-0.0567,-0.0174
1776368333.5197709,,,,,-0.5731,3.4564,9.2148,0.0199,-0.0568,-0.0182
1776368333.5786219,,,,,-0.5767,3.4672,9.2136,0.0232,-0.0567,-0.0182
1776368333.578923,,,,,-0.5803,3.4756,9.2028,0.0254,-0.0560,-0.0177
1776368333.606986,,,,,-0.6090,3.4768,9.2064,0.0275,-0.0570,-0.0174
1776368333.6090088,,,,,-0.5970,3.4672,9.2064,0.0299,-0.0579,-0.0170
1776368333.609251,,,,,-0.6066,3.4720,9.2267,0.0334,-0.0606,-0.0163
1776368333.609468,,,,,-0.6365,3.4552,9.2148,0.0376,-0.0631,-0.0163
1776368333.609539,,,,,-0.6987,3.4205,9.1765,0.0440,-0.0672,-0.0156
1776368333.609716,,,,,-0.6138,3.4516,9.2124,0.0521,-0.0759,-0.0133
1776368333.66583,,,,,-0.6485,3.4241,9.1908,0.0586,-0.0805,-0.0107
1776368333.667635,,,,,-0.5348,3.4971,9.1920,0.0684,-0.0907,-0.0043
1776368333.670291,,,,,-0.6042,3.5210,9.1872,0.0695,-0.0910,-0.0012
1776368333.670531,,,,,-0.6006,3.5354,9.1825,0.0698,-0.0906,-0.0009
1776368333.67057,,,,,-0.5432,3.5234,9.1884,0.0683,-0.0887,-0.0034
1776368333.670801,,,,,-0.5587,3.5306,9.1741,0.0689,-0.0869,-0.0055
1776368333.725858,,,,,-0.5970,3.5689,9.1801,0.0698,-0.0841,-0.0057
1776368333.727604,,,,,-0.5408,3.6024,9.1884,0.0660,-0.0803,-0.0092
1776368333.7303581,,,,,-0.4845,3.5509,9.1765,0.0600,-0.0754,-0.0113
1776368333.730546,,,,,-0.5109,3.5509,9.1813,0.0583,-0.0753,-0.0089
1776368333.7306728,,,,,-0.5456,3.5868,9.1585,0.0550,-0.0712,-0.0096
1776368333.730849,,,,,-0.5551,3.5892,9.1717,0.0499,-0.0692,-0.0096
1776368333.818559,,,,,-0.4762,3.5928,9.1777,0.0449,-0.0646,-0.0108
1776368333.818926,,,,,-0.5312,3.5892,9.1645,0.0394,-0.0591,-0.0136
1776368333.818967,,,,,-0.5551,3.5844,9.1597,0.0356,-0.0538,-0.0150
1776368333.819288,,,,,-0.5623,3.5785,9.1645,0.0321,-0.0530,-0.0148
1776368333.819604,,,,,-0.5934,3.5821,9.1717,0.0284,-0.0519,-0.0148
1776368333.819791,,,,,-0.5659,3.5653,9.1669,0.0257,-0.0515,-0.0156
1776368333.820019,,,,,-0.6162,3.6000,9.1765,0.0217,-0.0510,-0.0137
1776368333.820195,,,,,-0.5133,3.5629,9.1968,0.0183,-0.0513,-0.0142
1776368333.821601,,,,,-0.5539,3.5498,9.1801,0.0194,-0.0483,-0.0159
1776368333.8759701,,,,,-0.6197,3.5605,9.1645,0.0192,-0.0473,-0.0168
1776368333.877711,,,,,-0.5707,3.5797,9.1657,0.0191,-0.0483,-0.0159
1776368333.877961,,,,,-0.6221,3.6036,9.1681,0.0176,-0.0496,-0.0139
1776368333.87824,,,,,-0.5767,3.5785,9.1741,0.0140,-0.0509,-0.0139
1776368333.879113,,,,,-0.5731,3.5641,9.1801,0.0124,-0.0487,-0.0144
1776368333.8793018,,,,,-0.6532,3.5617,9.1741,0.0125,-0.0496,-0.0130
1776368333.936224,,,,,-0.5922,3.5390,9.1860,0.0142,-0.0553,-0.0125
