time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776363648.350999,,,,,-1.1426,3.5186,9.1394,0.0212,-0.0709,-0.0104
1776363648.3807318,,,,,-1.1234,3.5151,9.1394,0.0215,-0.0699,-0.0110
1776363648.381259,,,,,-1.1390,3.5091,9.1310,0.0226,-0.0698,-0.0122
1776363648.381353,,,,,-1.1665,3.5103,9.1358,0.0240,-0.0690,-0.0121
1776363648.3815491,,,,,-1.1581,3.5282,9.1382,0.0244,-0.0718,-0.0104
1776363648.381696,,,,,-1.1713,3.5462,9.1466,0.0240,-0.0742,-0.0101
1776363648.4083579,,,,,-1.1414,3.5498,9.1334,0.0237,-0.0759,-0.0093
1776363648.440638,,,,,-1.1605,3.5234,9.1262,0.0229,-0.0768,-0.0090
1776363648.441142,,,,,-1.1390,3.5557,9.1310,0.0223,-0.0790,-0.0078
1776363648.441186,,,,,-1.0839,3.5270,9.1513,0.0211,-0.0780,-0.0082
1776363648.44156,,,,,-1.1210,3.5486,9.1430,0.0203,-0.0757,-0.0101
1776363648.4423401,,,,,-1.0911,3.5115,9.1370,0.0180,-0.0728,-0.0113
1776363648.442518,,,,,-1.1665,3.5270,9.1358,0.0177,-0.0702,-0.0122
1776363648.500509,,,,,-1.1545,3.5426,9.1298,0.0177,-0.0709,-0.0115
1776363648.501028,,,,,-1.1486,3.5378,9.1358,0.0168,-0.0727,-0.0104
1776363648.50128,,,,,-1.1593,3.5390,9.1322,0.0160,-0.0741,-0.0102
1776363648.501549,,,,,-1.1079,3.5198,9.1418,0.0153,-0.0745,-0.0105
1776363648.5022552,,,,,-1.1354,3.5354,9.1382,0.0159,-0.0739,-0.0101
1776363648.560362,,,,,-1.1043,3.5330,9.1418,0.0157,-0.0739,-0.0099
1776363648.560627,,,,,-1.1605,3.5234,9.1178,0.0170,-0.0722,-0.0104
1776363648.560647,,,,,-1.0744,3.5055,9.1561,0.0173,-0.0730,-0.0090
1776363648.562007,,,,,-1.1186,3.5115,9.1525,0.0173,-0.0710,-0.0102
1776363648.562124,,,,,-1.1641,3.5533,9.1286,0.0179,-0.0730,-0.0104
1776363648.588846,,,,,-1.0947,3.5294,9.1501,0.0188,-0.0756,-0.0084
1776363648.6514409,,,,,-1.1474,3.5294,9.1202,0.0179,-0.0747,-0.0093
1776363648.651689,,,,,-1.1115,3.5007,9.1525,0.0176,-0.0756,-0.0093
1776363648.651781,,,,,-1.1294,3.5330,9.1370,0.0186,-0.0764,-0.0093
1776363648.6518679,,,,,-1.1186,3.5163,9.1370,0.0191,-0.0774,-0.0090
1776363648.652003,,,,,-1.0696,3.5186,9.1513,0.0186,-0.0771,-0.0084
1776363648.65314,,,,,-1.1019,3.5139,9.1358,0.0183,-0.0751,-0.0096
1776363648.653248,,,,,-1.1414,3.5234,9.1346,0.0182,-0.0761,-0.0092
1776363648.653356,,,,,-1.1222,3.5127,9.1406,0.0173,-0.0777,-0.0084
1776363648.653449,,,,,-1.1067,3.5294,9.1466,0.0195,-0.0793,-0.0082
1776363648.7096162,,,,,-1.0887,3.5354,9.1525,0.0191,-0.0780,-0.0073
1776363648.709882,,,,,-1.1151,3.5282,9.1382,0.0179,-0.0748,-0.0093
1776363648.7112472,,,,,-1.1151,3.5294,9.1286,0.0177,-0.0742,-0.0095
1776363648.711398,,,,,-1.1019,3.5438,9.1490,0.0171,-0.0748,-0.0089
1776363648.7155259,,,,,-1.1270,3.5294,9.1466,0.0156,-0.0745,-0.0096
1776363648.7156632,,,,,-1.1043,3.5151,9.1226,0.0171,-0.0756,-0.0098
1776363648.7693188,,,,,-1.1498,3.4911,9.1166,0.0186,-0.0764,-0.0089
1776363648.7715259,,,,,-1.1330,3.5198,9.1346,0.0206,-0.0782,-0.0076
1776363648.77177,,,,,-1.1414,3.5139,9.1501,0.0220,-0.0822,-0.0050
1776363648.798481,,,,,-1.0947,3.5103,9.1466,0.0234,-0.0855,-0.0041
1776363648.800423,,,,,-1.1234,3.5545,9.1513,0.0241,-0.0877,-0.0043
1776363648.8004549,,,,,-1.1007,3.5677,9.1274,0.0234,-0.0909,-0.0041
1776363648.802403,,,,,-1.0804,3.5498,9.1370,0.0211,-0.0903,-0.0049
1776363648.80261,,,,,-1.1067,3.5210,9.1226,0.0200,-0.0907,-0.0044
1776363648.830424,,,,,-1.0229,3.4851,9.1633,0.0205,-0.0899,-0.0040
1776363648.860217,,,,,-1.0277,3.5067,9.1370,0.0203,-0.0855,-0.0053
1776363648.86044,,,,,-1.0445,3.5282,9.1657,0.0209,-0.0826,-0.0064
1776363648.860457,,,,,-1.0169,3.4863,9.1753,0.0218,-0.0791,-0.0081
1776363648.88831,,,,,-0.9787,3.5186,9.1645,0.0218,-0.0736,-0.0096
1776363648.890254,,,,,-1.0660,3.5019,9.1262,0.0226,-0.0699,-0.0101
1776363648.890383,,,,,-1.0289,3.5282,9.1442,0.0228,-0.0684,-0.0098
1776363648.890403,,,,,-1.0504,3.5031,9.1382,0.0215,-0.0652,-0.0108
1776363648.89211,,,,,-1.0469,3.5282,9.1358,0.0215,-0.0634,-0.0104
1776363648.892312,,,,,-1.0528,3.5127,9.1394,0.0217,-0.0622,-0.0104
1776363648.950635,,,,,-1.0253,3.5103,9.1406,0.0214,-0.0608,-0.0102
1776363648.950957,,,,,-1.0744,3.5127,9.1478,0.0223,-0.0582,-0.0118
1776363648.950974,,,,,-1.0612,3.5067,9.1537,0.0224,-0.0568,-0.0124
1776363648.981241,,,,,-1.0995,3.5486,9.1394,0.0234,-0.0573,-0.0115
1776363648.981497,,,,,-1.1103,3.5545,9.1466,0.0220,-0.0583,-0.0113
