time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776364080.45413,,,,,-1.0026,3.7101,9.0664,0.0174,-0.0638,-0.0115
1776364080.484371,,,,,-0.9954,3.7256,9.0796,0.0186,-0.0634,-0.0116
1776364080.4846568,,,,,-1.0122,3.7232,9.0640,0.0183,-0.0644,-0.0105
1776364080.48468,,,,,-0.9942,3.7196,9.0736,0.0182,-0.0649,-0.0108
1776364080.487308,,,,,-0.9811,3.7208,9.0628,0.0180,-0.0648,-0.0110
1776364080.487676,,,,,-0.9894,3.7077,9.0736,0.0176,-0.0640,-0.0108
1776364080.48772,,,,,-0.9834,3.7256,9.0700,0.0179,-0.0635,-0.0108
1776364080.4879801,,,,,-0.9846,3.7149,9.0808,0.0180,-0.0623,-0.0107
1776364080.488041,,,,,-0.9930,3.7220,9.0664,0.0180,-0.0623,-0.0113
1776364080.488204,,,,,-0.9870,3.7196,9.0712,0.0185,-0.0614,-0.0118
1776364080.634657,,,,,-1.0086,3.7149,9.0652,0.0182,-0.0629,-0.0111
1776364080.635046,,,,,-1.0086,3.7268,9.0628,0.0185,-0.0637,-0.0104
1776364080.664562,,,,,-1.0002,3.7376,9.0688,0.0176,-0.0644,-0.0105
1776364080.6649752,,,,,-0.9799,3.7196,9.0688,0.0170,-0.0640,-0.0111
1776364080.665022,,,,,-0.9870,3.7053,9.0640,0.0177,-0.0637,-0.0113
1776364080.66531,,,,,-0.9906,3.7244,9.0772,0.0179,-0.0619,-0.0110
1776364080.666531,,,,,-0.9906,3.7101,9.0724,0.0171,-0.0626,-0.0118
1776364080.666761,,,,,-0.9942,3.7220,9.0748,0.0183,-0.0628,-0.0110
1776364080.6668942,,,,,-0.9942,3.7208,9.0688,0.0194,-0.0635,-0.0110
1776364080.6678631,,,,,-0.9918,3.7292,9.0760,0.0195,-0.0635,-0.0110
1776364080.668043,,,,,-0.9966,3.7364,9.0688,0.0189,-0.0646,-0.0108
1776364080.668064,,,,,-0.9870,3.7125,9.0580,0.0176,-0.0638,-0.0119
1776364080.754699,,,,,-0.9978,3.7184,9.0676,0.0173,-0.0625,-0.0124
1776364080.755162,,,,,-0.9906,3.7113,9.0712,0.0171,-0.0623,-0.0115
1776364080.755203,,,,,-0.9894,3.7077,9.0604,0.0182,-0.0614,-0.0121
