time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775503615.473919,,,1.0660,0.2704,9.9242,0.0144,-0.0606,-0.0136
1775503615.504108,,,1.0696,0.2524,9.9230,0.0147,-0.0606,-0.0133
1775503615.561815,,,1.0851,0.2692,9.9314,0.0176,-0.0603,-0.0128
1775503615.5628319,,,1.0887,0.2465,9.9170,0.0189,-0.0591,-0.0139
1775503615.563128,,,1.0768,0.2728,9.9123,0.0189,-0.0580,-0.0137
1775503615.5633159,,,1.0540,0.2572,9.9170,0.0179,-0.0580,-0.0142
1775503615.5635478,,,1.0744,0.2620,9.9159,0.0182,-0.0596,-0.0134
1775503615.620481,,,1.0768,0.2764,9.9159,0.0206,-0.0591,-0.0145
1775503615.622863,,,1.0828,0.2524,9.9194,0.0199,-0.0579,-0.0145
1775503615.623125,,,1.0792,0.2824,9.9206,0.0202,-0.0576,-0.0153
1775503615.6233048,,,1.0588,0.2740,9.9266,0.0197,-0.0576,-0.0144
1775503615.6235,,,1.0804,0.2584,9.9254,0.0197,-0.0588,-0.0148
1775503615.624494,,,1.0696,0.2835,9.9398,0.0212,-0.0602,-0.0139
1775503615.6812549,,,1.0612,0.2680,9.9266,0.0211,-0.0591,-0.0140
1775503615.68334,,,1.0732,0.2692,9.9075,0.0226,-0.0594,-0.0150
1775503615.711762,,,1.0588,0.2477,9.9063,0.0238,-0.0580,-0.0159
1775503615.7403982,,,1.0744,0.2824,9.9410,0.0261,-0.0585,-0.0160
1775503615.742665,,,1.0828,0.2812,9.9314,0.0272,-0.0582,-0.0163
1775503615.7429,,,1.0708,0.2453,9.9027,0.0286,-0.0589,-0.0163
1775503615.770357,,,1.0660,0.2740,9.9123,0.0287,-0.0580,-0.0165
1775503615.772526,,,1.0792,0.2835,9.9242,0.0286,-0.0586,-0.0174
1775503615.772835,,,1.0648,0.2895,9.9254,0.0272,-0.0583,-0.0170
1775503615.772876,,,1.0863,0.3194,9.9422,0.0243,-0.0579,-0.0162
1775503615.831615,,,1.0612,0.3051,9.9302,0.0191,-0.0583,-0.0145
1775503615.83273,,,1.0720,0.2919,9.9266,0.0203,-0.0585,-0.0150
1775503615.833015,,,1.0588,0.3135,9.9422,0.0214,-0.0599,-0.0148
1775503615.833045,,,1.0768,0.2943,9.9111,0.0182,-0.0597,-0.0142
1775503615.83568,,,1.0839,0.2596,9.9063,0.0192,-0.0591,-0.0147
1775503615.891645,,,1.0732,0.3027,9.9338,0.0234,-0.0579,-0.0151
1775503615.893752,,,1.0660,0.3051,9.9362,0.0220,-0.0580,-0.0160
1775503615.9523368,,,1.0732,0.3063,9.9410,0.0208,-0.0585,-0.0150
1775503615.9526699,,,1.0887,0.3135,9.9218,0.0194,-0.0591,-0.0145
1775503615.9526982,,,1.0828,0.2859,9.8991,0.0174,-0.0597,-0.0131
1775503615.981062,,,1.0899,0.2644,9.9123,0.0182,-0.0593,-0.0137
1775503615.983104,,,1.0768,0.2847,9.9278,0.0202,-0.0593,-0.0137
1775503615.983352,,,1.0624,0.3039,9.9350,0.0208,-0.0606,-0.0144
1775503615.983493,,,1.0732,0.2979,9.9206,0.0195,-0.0603,-0.0134
1775503615.983696,,,1.0660,0.2883,9.9111,0.0192,-0.0620,-0.0134
1775503615.9839869,,,1.0768,0.2812,9.9075,0.0205,-0.0597,-0.0147
1775503616.041483,,,1.0660,0.2871,9.9338,0.0215,-0.0606,-0.0147
1775503616.042701,,,1.0839,0.3194,9.9434,0.0234,-0.0600,-0.0150
1775503616.101768,,,1.0899,0.3099,9.9290,0.0224,-0.0602,-0.0137
1775503616.130561,,,1.0756,0.2979,9.9230,0.0197,-0.0600,-0.0147
1775503616.131665,,,1.0756,0.3015,9.9206,0.0208,-0.0597,-0.0151
1775503616.160416,,,1.0648,0.2812,9.9135,0.0211,-0.0591,-0.0154
1775503616.16166,,,1.0899,0.3063,9.9302,0.0224,-0.0596,-0.0150
1775503616.253757,,,1.0804,0.2895,9.9266,0.0238,-0.0597,-0.0150
1775503616.2541928,,,1.0995,0.3003,9.9170,0.0237,-0.0570,-0.0162
1775503616.254236,,,1.0612,0.2883,9.9135,0.0240,-0.0564,-0.0162
1775503616.25455,,,1.0708,0.3135,9.9230,0.0247,-0.0574,-0.0163
1775503616.254729,,,1.0612,0.3254,9.9326,0.0231,-0.0577,-0.0160
1775503616.255546,,,1.0863,0.3362,9.9326,0.0205,-0.0586,-0.0166
1775503616.2557352,,,1.0983,0.2728,9.8931,0.0182,-0.0564,-0.0162
1775503616.2824588,,,1.0744,0.2668,9.9087,0.0221,-0.0544,-0.0183
1775503616.282738,,,1.0720,0.2835,9.9182,0.0310,-0.0548,-0.0195
1775503616.2827818,,,1.0528,0.3039,9.9278,0.0345,-0.0545,-0.0209
1775503616.2830012,,,1.0696,0.3135,9.9278,0.0365,-0.0559,-0.0200
1775503616.28451,,,1.0504,0.3398,9.9470,0.0383,-0.0576,-0.0197
1775503616.284673,,,1.0624,0.3649,9.9458,0.0307,-0.0620,-0.0153
1775503616.284884,,,1.0780,0.3900,9.9482,0.0254,-0.0620,-0.0144
1775503616.3408692,,,1.0839,0.3410,9.9182,0.0197,-0.0619,-0.0128
1775503616.34363,,,1.0923,0.3338,9.9147,0.0145,-0.0599,-0.0121
1775503616.37376,,,1.0887,0.3386,9.9087,0.0125,-0.0583,-0.0134
1775503616.374076,,,1.0648,0.3302,9.9254,0.0121,-0.0582,-0.0122
