time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775504145.158252,,,1.3783,0.3541,9.8070,0.0140,-0.0516,-0.0133
1775504145.1873658,,,1.3484,0.4008,9.8309,0.0147,-0.0461,-0.0162
1775504145.21673,,,1.3388,0.4175,9.8656,0.0122,-0.0431,-0.0182
1775504145.219018,,,1.2981,0.4714,9.9051,0.0026,-0.0402,-0.0173
1775504145.219292,,,1.3089,0.4295,9.8824,-0.0038,-0.0412,-0.0159
1775504145.24635,,,1.3543,0.4068,9.8620,-0.0111,-0.0409,-0.0157
1775504145.24839,,,1.3436,0.3661,9.8572,-0.0116,-0.0414,-0.0173
1775504145.248671,,,1.3316,0.3864,9.8943,-0.0063,-0.0409,-0.0195
1775504145.2487109,,,1.2993,0.4008,9.9182,-0.0050,-0.0449,-0.0209
1775504145.25008,,,1.2682,0.4044,9.9230,-0.0026,-0.0431,-0.0179
1775504145.250188,,,1.3053,0.4271,9.9278,0.0052,-0.0539,-0.0165
1775504145.308108,,,1.3113,0.4092,9.9039,0.0067,-0.0525,-0.0140
1775504145.308373,,,1.3232,0.4008,9.8979,0.0113,-0.0553,-0.0144
1775504145.3371289,,,1.3113,0.3852,9.8919,0.0108,-0.0548,-0.0142
1775504145.3400881,,,1.3448,0.3805,9.8704,0.0128,-0.0551,-0.0174
1775504145.340342,,,1.2814,0.4056,9.9123,0.0144,-0.0541,-0.0203
1775504145.3998358,,,1.3196,0.4164,9.9087,0.0157,-0.0525,-0.0173
1775504145.429518,,,1.2957,0.4152,9.8967,0.0165,-0.0524,-0.0191
1775504145.4298902,,,1.2921,0.4235,9.9182,0.0159,-0.0541,-0.0170
1775504145.429934,,,1.3113,0.3936,9.8704,0.0192,-0.0582,-0.0166
1775504145.430196,,,1.2634,0.3984,9.9051,0.0200,-0.0599,-0.0166
1775504145.4304152,,,1.2778,0.3948,9.8979,0.0214,-0.0637,-0.0144
1775504145.430548,,,1.3149,0.3829,9.8824,0.0240,-0.0644,-0.0145
1775504145.43193,,,1.2778,0.3936,9.8991,0.0250,-0.0623,-0.0148
1775504145.517331,,,1.3232,0.4020,9.8883,0.0241,-0.0638,-0.0137
1775504145.518579,,,1.3304,0.4235,9.8847,0.0237,-0.0629,-0.0139
1775504145.547103,,,1.3149,0.4008,9.8776,0.0177,-0.0593,-0.0137
1775504145.5495412,,,1.2849,0.4044,9.8788,0.0148,-0.0562,-0.0134
1775504145.549741,,,1.3232,0.3900,9.8608,0.0154,-0.0559,-0.0134
1775504145.577811,,,1.3137,0.3996,9.8883,0.0197,-0.0603,-0.0115
1775504145.606883,,,1.3448,0.4044,9.8776,0.0212,-0.0626,-0.0127
1775504145.60879,,,1.3232,0.3912,9.8512,0.0192,-0.0542,-0.0139
1775504145.6090372,,,1.3615,0.3757,9.8512,0.0163,-0.0522,-0.0160
1775504145.609077,,,1.3053,0.3984,9.8500,0.0115,-0.0452,-0.0180
1775504145.6092951,,,1.3101,0.4295,9.8680,0.0104,-0.0476,-0.0209
1775504145.6115189,,,1.2837,0.3697,9.8895,0.0081,-0.0451,-0.0195
1775504145.6117592,,,1.2837,0.4092,9.8788,0.0029,-0.0472,-0.0215
1775504145.6666749,,,1.2957,0.4068,9.8788,0.0009,-0.0414,-0.0174
1775504145.696384,,,1.3125,0.3410,9.8477,-0.0034,-0.0392,-0.0203
1775504145.698334,,,1.3280,0.4319,9.8704,-0.0027,-0.0392,-0.0240
1775504145.6986518,,,1.2897,0.3625,9.8345,-0.0131,-0.0324,-0.0241
1775504145.698686,,,1.3400,0.3829,9.8596,-0.0179,-0.0299,-0.0246
1775504145.7002282,,,1.2957,0.3625,9.8835,-0.0170,-0.0257,-0.0266
1775504145.700414,,,1.2897,0.3685,9.9051,-0.0044,-0.0235,-0.0279
1775504145.757642,,,1.2610,0.3769,9.9278,-0.0008,-0.0220,-0.0273
1775504145.7594209,,,1.2718,0.3840,9.9003,0.0052,-0.0235,-0.0276
1775504145.787519,,,1.2610,0.3398,9.8895,0.0073,-0.0215,-0.0289
1775504145.787758,,,1.2227,0.3829,9.9027,0.0107,-0.0238,-0.0298
1775504145.789665,,,1.2203,0.4044,9.9266,0.0139,-0.0319,-0.0276
1775504145.817579,,,1.2586,0.4044,9.9003,0.0128,-0.0339,-0.0267
1775504145.84636,,,1.2550,0.4020,9.9075,0.0098,-0.0354,-0.0249
1775504145.848642,,,1.2491,0.3793,9.8991,0.0095,-0.0380,-0.0255
1775504145.848945,,,1.2203,0.3709,9.9111,0.0118,-0.0394,-0.0234
1775504145.8489769,,,1.2239,0.3721,9.9063,0.0131,-0.0411,-0.0223
1775504145.8514109,,,1.2538,0.3589,9.8812,0.0156,-0.0405,-0.0223
1775504145.906375,,,1.1306,0.3278,9.8979,0.0247,-0.0464,-0.0203
1775504145.9362938,,,1.1593,0.4032,9.9278,0.0333,-0.0560,-0.0174
1775504145.9376252,,,1.2383,0.3996,9.9003,0.0391,-0.0655,-0.0134
1775504145.966463,,,1.2658,0.3996,9.9003,0.0425,-0.0669,-0.0157
1775504145.967693,,,1.2586,0.3876,9.8991,0.0421,-0.0649,-0.0166
1775504145.9704168,,,1.2754,0.4056,9.8859,0.0377,-0.0585,-0.0195
1775504145.99958,,,1.2778,0.3721,9.8800,0.0356,-0.0547,-0.0209
1775504145.9999511,,,1.2323,0.4032,9.8919,0.0344,-0.0496,-0.0249
1775504145.9999921,,,1.1988,0.4235,9.9051,0.0330,-0.0499,-0.0250
1775504146.0002391,,,1.2311,0.4223,9.9063,0.0290,-0.0528,-0.0212
1775504146.057618,,,1.2335,0.4056,9.8943,0.0292,-0.0507,-0.0228
1775504146.058659,,,1.2383,0.4152,9.8859,0.0293,-0.0498,-0.0212
1775504146.107005,,,1.1976,0.4558,9.9218,0.0318,-0.0507,-0.0221
1775504146.107466,,,1.2275,0.4271,9.9039,0.0312,-0.0528,-0.0205
1775504146.107507,,,1.2455,0.4164,9.8847,0.0281,-0.0518,-0.0191
1775504146.117762,,,1.2203,0.4211,9.8931,0.0257,-0.0519,-0.0192
1775504146.118005,,,1.2036,0.4439,9.9003,0.0218,-0.0545,-0.0177
1775504146.120501,,,1.2108,0.4558,9.9147,0.0194,-0.0570,-0.0156
1775504146.148781,,,1.2275,0.4415,9.9218,0.0176,-0.0593,-0.0142
1775504146.178945,,,1.2275,0.4104,9.9230,0.0180,-0.0609,-0.0134
1775504146.179261,,,1.2371,0.4235,9.9111,0.0195,-0.0612,-0.0124
1775504146.1794949,,,1.2347,0.4223,9.9015,0.0221,-0.0628,-0.0128
1775504146.179706,,,1.2323,0.4307,9.8967,0.0226,-0.0626,-0.0122
1775504146.236771,,,1.2407,0.4211,9.8919,0.0231,-0.0635,-0.0119
1775504146.238175,,,1.2371,0.4283,9.8907,0.0215,-0.0646,-0.0134
1775504146.2385228,,,1.2227,0.4175,9.8883,0.0214,-0.0658,-0.0130
1775504146.238566,,,1.2299,0.3960,9.8584,0.0229,-0.0657,-0.0124
1775504146.240824,,,1.2323,0.4080,9.8776,0.0237,-0.0663,-0.0131
1775504146.296774,,,1.2550,0.4116,9.8704,0.0247,-0.0646,-0.0136
1775504146.297622,,,1.2610,0.4211,9.8883,0.0263,-0.0626,-0.0144
1775504146.326452,,,1.2562,0.4199,9.8943,0.0275,-0.0597,-0.0151
1775504146.327747,,,1.2203,0.4307,9.8991,0.0283,-0.0605,-0.0145
1775504146.328094,,,1.2502,0.4654,9.8883,0.0273,-0.0615,-0.0130
1775504146.3281229,,,1.2574,0.4140,9.9003,0.0261,-0.0588,-0.0121
1775504146.3877451,,,1.2502,0.4606,9.8919,0.0235,-0.0600,-0.0104
1775504146.3886678,,,1.1988,0.4642,9.9111,0.0206,-0.0602,-0.0108
1775504146.417135,,,1.2622,0.4630,9.9206,0.0166,-0.0634,-0.0063
1775504146.41955,,,1.2491,0.4546,9.8991,0.0148,-0.0635,-0.0057
1775504146.4197812,,,1.1892,0.4092,9.8895,0.0086,-0.0593,-0.0053
1775504146.44926,,,1.2012,0.4558,9.9159,0.0092,-0.0594,-0.0037
1775504146.449551,,,1.2060,0.4175,9.9194,0.0134,-0.0608,0.0008
1775504146.449593,,,1.2658,0.4391,9.9135,0.0139,-0.0619,0.0026
1775504146.449811,,,1.3017,0.4570,9.9027,0.0147,-0.0609,0.0006
1775504146.5097458,,,1.2754,0.4367,9.8919,0.0086,-0.0548,-0.0020
1775504146.510039,,,1.2550,0.4271,9.8788,0.0061,-0.0541,-0.0049
1775504146.539256,,,1.2359,0.4152,9.9099,0.0070,-0.0515,-0.0057
1775504146.539617,,,1.2311,0.4056,9.9051,0.0084,-0.0541,-0.0057
1775504146.539663,,,1.2634,0.4427,9.8991,0.0087,-0.0548,-0.0063
1775504146.539861,,,1.2323,0.4654,9.9099,0.0073,-0.0548,-0.0066
1775504146.540067,,,1.1868,0.4283,9.9159,0.0052,-0.0560,-0.0050
1775504146.59669,,,1.2622,0.4128,9.9075,0.0047,-0.0617,-0.0023
1775504146.598114,,,1.2897,0.4175,9.8907,0.0098,-0.0660,-0.0034
1775504146.6264389,,,1.2921,0.4510,9.8788,0.0032,-0.0638,-0.0075
1775504146.6281788,,,1.2514,0.4475,9.8835,-0.0053,-0.0586,-0.0072
1775504146.628455,,,1.2742,0.4367,9.9111,-0.0115,-0.0550,-0.0066
1775504146.628484,,,1.2514,0.3589,9.8859,-0.0127,-0.0507,-0.0081
1775504146.6866581,,,1.2491,0.3446,9.8824,-0.0069,-0.0486,-0.0102
1775504146.687788,,,1.2275,0.3793,9.8907,0.0104,-0.0472,-0.0148
1775504146.716496,,,1.2156,0.3996,9.9027,0.0148,-0.0487,-0.0153
1775504146.717941,,,1.2048,0.4128,9.9051,0.0157,-0.0490,-0.0160
1775504146.71824,,,1.2467,0.4283,9.8955,0.0137,-0.0487,-0.0159
1775504146.718271,,,1.2167,0.4223,9.9194,0.0092,-0.0487,-0.0162
1775504146.7765381,,,1.2144,0.3745,9.9015,0.0105,-0.0516,-0.0150
1775504146.778256,,,1.2263,0.3840,9.9051,0.0166,-0.0544,-0.0153
1775504146.807595,,,1.1916,0.4152,9.9374,0.0243,-0.0570,-0.0159
1775504146.811424,,,1.2227,0.4522,9.9147,0.0257,-0.0589,-0.0145
1775504146.811866,,,1.2024,0.4283,9.9039,0.0214,-0.0637,-0.0124
1775504146.811927,,,1.2012,0.4546,9.9254,0.0214,-0.0677,-0.0107
1775504146.812133,,,1.1928,0.4307,9.9194,0.0199,-0.0699,-0.0069
1775504146.868621,,,1.2060,0.4199,9.9099,0.0151,-0.0735,-0.0044
1775504146.8692439,,,1.2072,0.4463,9.8955,0.0122,-0.0744,-0.0026
1775504146.896459,,,1.2526,0.4211,9.8776,0.0095,-0.0797,-0.0009
1775504146.898227,,,1.2538,0.4403,9.8835,0.0058,-0.0808,-0.0021
1775504146.898433,,,1.2383,0.4343,9.8824,0.0000,-0.0785,-0.0002
1775504146.900335,,,1.1521,0.4582,9.9087,-0.0205,-0.0790,0.0034
1775504146.900525,,,1.2395,0.4570,9.9302,-0.0304,-0.0823,0.0082
1775504146.9866722,,,1.2849,0.3829,9.9697,-0.0331,-0.0832,0.0121
1775504146.988898,,,1.2347,0.4295,9.9828,-0.0260,-0.0857,0.0121
1775504147.0166972,,,1.2359,0.4235,9.9374,-0.0160,-0.0977,0.0142
1775504147.017834,,,1.2562,0.3912,9.9027,-0.0150,-0.1003,0.0159
1775504147.01794,,,1.2144,0.3936,9.9194,-0.0171,-0.1035,0.0156
1775504147.04657,,,1.2646,0.3326,9.8524,-0.0258,-0.1019,0.0166
1775504147.048276,,,1.2778,0.3422,9.8560,-0.0290,-0.1026,0.0150
1775504147.051649,,,1.2718,0.2764,9.8309,-0.0287,-0.1017,0.0160
1775504147.051957,,,1.3041,0.2405,9.8297,-0.0249,-0.0983,0.0157
1775504147.051999,,,1.2179,0.2297,9.8620,-0.0053,-0.0980,0.0142
1775504147.052215,,,1.3842,0.1866,9.8070,0.0044,-0.0976,0.0073
1775504147.108942,,,1.2694,0.2560,9.8847,0.0165,-0.0884,0.0046
1775504147.109247,,,1.3328,0.3888,9.9003,0.0316,-0.0938,-0.0006
