time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775503130.700951,,,1.2000,0.5264,9.9015,0.0247,-0.0602,-0.0131
1775503130.731067,,,1.2431,0.5324,9.8919,0.0223,-0.0609,-0.0124
1775503130.7600799,,,1.2359,0.5157,9.8919,0.0170,-0.0597,-0.0122
1775503130.760554,,,1.2251,0.5037,9.8847,0.0153,-0.0589,-0.0130
1775503130.760639,,,1.2203,0.5228,9.8919,0.0142,-0.0594,-0.0122
1775503130.7607648,,,1.2299,0.4989,9.8812,0.0145,-0.0591,-0.0121
1775503130.818926,,,1.2120,0.5133,9.8800,0.0148,-0.0593,-0.0131
1775503130.81919,,,1.2179,0.5061,9.8859,0.0150,-0.0594,-0.0124
1775503130.821046,,,1.2443,0.5085,9.8907,0.0160,-0.0600,-0.0124
1775503130.849089,,,1.2323,0.5073,9.8740,0.0173,-0.0576,-0.0127
1775503130.8493462,,,1.2167,0.5204,9.8859,0.0176,-0.0580,-0.0147
1775503130.85072,,,1.2096,0.5157,9.8871,0.0183,-0.0583,-0.0140
1775503130.8509178,,,1.2203,0.5228,9.8907,0.0170,-0.0586,-0.0136
1775503130.9109151,,,1.2275,0.5180,9.8907,0.0168,-0.0593,-0.0130
1775503130.911168,,,1.2132,0.5085,9.8895,0.0148,-0.0579,-0.0128
1775503130.939552,,,1.1976,0.5216,9.8955,0.0137,-0.0588,-0.0131
1775503130.9399092,,,1.2084,0.5037,9.8812,0.0133,-0.0606,-0.0128
1775503130.9399529,,,1.2084,0.5073,9.8991,0.0134,-0.0614,-0.0118
1775503130.969182,,,1.2156,0.5145,9.8967,0.0125,-0.0625,-0.0131
1775503130.9695082,,,1.2084,0.5145,9.8907,0.0124,-0.0628,-0.0127
1775503130.969676,,,1.2203,0.4941,9.8835,0.0124,-0.0634,-0.0113
1775503130.970933,,,1.2156,0.5109,9.8919,0.0137,-0.0628,-0.0127
1775503131.028776,,,1.2263,0.5025,9.8907,0.0130,-0.0626,-0.0128
1775503131.029878,,,1.2371,0.5013,9.8824,0.0170,-0.0628,-0.0125
1775503131.0584462,,,1.2215,0.4977,9.8835,0.0168,-0.0611,-0.0131
1775503131.059849,,,1.2227,0.5073,9.8871,0.0177,-0.0612,-0.0134
1775503131.059959,,,1.2251,0.5061,9.8979,0.0194,-0.0609,-0.0137
1775503131.062032,,,1.2275,0.5085,9.8907,0.0191,-0.0605,-0.0140
