time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776366457.346015,,,,,-0.9153,3.7675,9.0700,0.0273,-0.0706,-0.0125
1776366457.402292,,,,,-0.8901,3.7603,9.0305,0.0247,-0.0693,-0.0108
1776366457.432406,,,,,-0.8806,3.7400,9.0592,0.0203,-0.0658,-0.0116
1776366457.43432,,,,,-0.8770,3.7555,9.0664,0.0174,-0.0614,-0.0124
1776366457.4343941,,,,,-0.8686,3.7412,9.0736,0.0154,-0.0589,-0.0125
1776366457.434443,,,,,-0.8997,3.7184,9.0676,0.0157,-0.0565,-0.0139
1776366457.4356759,,,,,-0.9117,3.7591,9.0987,0.0151,-0.0582,-0.0148
1776366457.4357939,,,,,-0.9200,3.7316,9.0688,0.0160,-0.0612,-0.0140
1776366457.437831,,,,,-0.9332,3.7531,9.0664,0.0150,-0.0634,-0.0134
1776366457.438028,,,,,-0.8949,3.7352,9.0915,0.0140,-0.0625,-0.0130
1776366457.438041,,,,,-0.8937,3.7184,9.0449,0.0137,-0.0600,-0.0124
1776366457.5539782,,,,,-0.8985,3.7184,9.0772,0.0160,-0.0580,-0.0134
1776366457.5540469,,,,,-0.8937,3.7113,9.0963,0.0180,-0.0593,-0.0134
1776366457.555509,,,,,-0.9081,3.7208,9.0796,0.0195,-0.0593,-0.0128
1776366457.5557828,,,,,-0.9165,3.7663,9.0676,0.0202,-0.0609,-0.0130
1776366457.556053,,,,,-0.9404,3.6981,9.0903,0.0205,-0.0637,-0.0122
1776366457.5562491,,,,,-0.8818,3.7579,9.0556,0.0202,-0.0634,-0.0107
1776366457.55729,,,,,-0.9021,3.7328,9.0700,0.0154,-0.0568,-0.0137
1776366457.557559,,,,,-0.8901,3.7232,9.0915,0.0156,-0.0571,-0.0130
1776366457.557604,,,,,-0.9248,3.7256,9.0712,0.0173,-0.0580,-0.0130
1776366457.615016,,,,,-0.9188,3.7196,9.0796,0.0191,-0.0599,-0.0122
1776366457.615129,,,,,-0.9344,3.7400,9.0939,0.0202,-0.0612,-0.0121
1776366457.615154,,,,,-0.9308,3.7567,9.0724,0.0197,-0.0626,-0.0121
1776366457.615533,,,,,-0.8973,3.7496,9.0604,0.0182,-0.0643,-0.0107
1776366457.615808,,,,,-0.8973,3.7663,9.0568,0.0156,-0.0649,-0.0101
1776366457.61585,,,,,-0.8806,3.7484,9.0616,0.0122,-0.0631,-0.0113
1776366457.672273,,,,,-0.8913,3.7268,9.0556,0.0090,-0.0602,-0.0122
1776366457.673907,,,,,-0.9141,3.7220,9.0843,0.0090,-0.0596,-0.0122
1776366457.674121,,,,,-0.8997,3.7208,9.0784,0.0093,-0.0585,-0.0127
1776366457.733356,,,,,-0.9248,3.7220,9.0796,0.0096,-0.0583,-0.0128
1776366457.7622888,,,,,-0.9176,3.7460,9.0772,0.0105,-0.0594,-0.0133
1776366457.764259,,,,,-0.9344,3.7436,9.0688,0.0095,-0.0608,-0.0128
1776366457.766739,,,,,-0.9057,3.7531,9.0748,0.0078,-0.0619,-0.0116
1776366457.767023,,,,,-0.9021,3.7507,9.0688,0.0061,-0.0622,-0.0115
1776366457.7670631,,,,,-0.8770,3.7448,9.0604,0.0034,-0.0600,-0.0115
1776366457.7673018,,,,,-0.8877,3.7089,9.0939,-0.0015,-0.0559,-0.0137
1776366457.794534,,,,,-0.9117,3.7161,9.0796,-0.0003,-0.0551,-0.0133
1776366457.822758,,,,,-0.9165,3.6706,9.0951,0.0012,-0.0544,-0.0145
1776366457.824717,,,,,-0.9499,3.6885,9.1035,0.0055,-0.0570,-0.0148
1776366457.824809,,,,,-0.9380,3.7017,9.1023,0.0096,-0.0609,-0.0130
1776366457.824872,,,,,-0.9344,3.7316,9.0879,0.0122,-0.0643,-0.0110
1776366457.8249211,,,,,-0.9272,3.7400,9.0796,0.0119,-0.0661,-0.0108
1776366457.826541,,,,,-0.9176,3.7352,9.0628,0.0089,-0.0667,-0.0105
1776366457.826578,,,,,-0.8925,3.7232,9.0820,0.0069,-0.0677,-0.0104
1776366457.830569,,,,,-0.8602,3.7340,9.0688,0.0047,-0.0652,-0.0102
1776366457.8306491,,,,,-0.9057,3.7172,9.0772,0.0024,-0.0631,-0.0118
1776366457.830656,,,,,-0.8710,3.7280,9.0700,-0.0003,-0.0597,-0.0113
1776366457.885365,,,,,-0.8937,3.6921,9.0616,-0.0027,-0.0571,-0.0125
1776366457.8854258,,,,,-0.9141,3.6837,9.0915,-0.0027,-0.0548,-0.0134
1776366457.9436119,,,,,-0.9320,3.6885,9.0987,-0.0003,-0.0556,-0.0133
1776366457.9437099,,,,,-0.9452,3.6981,9.1011,0.0023,-0.0593,-0.0122
1776366457.9438028,,,,,-0.9368,3.7077,9.0879,0.0032,-0.0614,-0.0115
1776366457.97436,,,,,-0.9404,3.7113,9.0748,0.0015,-0.0623,-0.0110
1776366457.974547,,,,,-0.9607,3.7053,9.0796,0.0017,-0.0634,-0.0092
1776366457.974646,,,,,-0.8578,3.6957,9.0700,-0.0002,-0.0637,-0.0067
1776366457.974719,,,,,-0.8734,3.6909,9.0879,-0.0012,-0.0611,-0.0073
1776366457.976919,,,,,-0.8770,3.6837,9.0843,-0.0011,-0.0565,-0.0098
1776366457.9770849,,,,,-0.8686,3.6670,9.1250,0.0011,-0.0553,-0.0116
1776366457.9771059,,,,,-0.8913,3.7029,9.1131,0.0034,-0.0547,-0.0119
1776366457.977252,,,,,-0.9416,3.7029,9.0915,0.0057,-0.0577,-0.0119
1776366457.977267,,,,,-0.9452,3.7029,9.0879,0.0049,-0.0605,-0.0110
1776366458.003707,,,,,-0.9212,3.7005,9.0855,0.0038,-0.0605,-0.0118
1776366458.033924,,,,,-0.9224,3.6849,9.0927,0.0026,-0.0603,-0.0104
1776366458.034258,,,,,-0.9057,3.6658,9.0915,0.0020,-0.0609,-0.0111
1776366458.03442,,,,,-0.9655,3.6347,9.1095,0.0047,-0.0564,-0.0125
1776366458.0357912,,,,,-0.8913,3.6502,9.1274,0.0095,-0.0585,-0.0108
1776366458.036083,,,,,-0.9021,3.6419,9.1166,0.0133,-0.0591,-0.0119
1776366458.094505,,,,,-0.9990,3.6766,9.0975,0.0166,-0.0619,-0.0116
1776366458.0947762,,,,,-0.9428,3.6933,9.1131,0.0186,-0.0658,-0.0093
1776366458.0948758,,,,,-0.8770,3.6814,9.0999,0.0195,-0.0696,-0.0092
1776366458.0950122,,,,,-0.9739,3.6933,9.0843,0.0183,-0.0690,-0.0098
