time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776361248.321944,,,,,-0.4582,1.1832,11.2199,3.6679,0.4980,-0.1625
1776361248.322011,,,,,-0.2584,1.6558,11.0740,4.2185,0.5980,-0.2231
1776361248.322022,55,7.7,DRV1,52,0.2273,1.2873,11.1505,4.7516,0.6958,-0.3682
1776361248.32203,,,,,0.8136,1.3184,11.0967,4.9966,0.7952,-0.6132
1776361248.3225238,,,,,0.7789,1.2969,10.6768,5.0036,0.8347,-0.9963
1776361248.3808682,,,,,0.8183,0.8423,10.3525,5.0036,0.8195,-1.4581
1776361248.381035,,,,,-0.6353,0.1065,9.3117,5.0036,0.7274,-1.9772
1776361248.408509,,,,,-0.3135,3.5797,9.7160,5.0036,0.7178,-2.5855
1776361248.410393,,,,,-1.1258,9.2530,11.6770,5.0036,-0.4001,-2.1759
1776361248.438522,,,,,-3.9781,21.5916,15.8800,5.0036,-2.0363,-2.0107
1776361248.440484,,,,,0.6461,25.2311,20.2552,5.0036,-2.8986,-2.2573
1776361248.4407208,,,,,2.9587,26.5017,22.1037,5.0036,-3.5868,-2.6632
1776361248.4689631,,,,,4.7390,24.5970,26.2253,5.0036,-4.4834,-2.8640
1776361248.470585,,,,,6.6485,17.0417,26.6716,4.9030,-4.5919,-3.7756
1776361248.474398,,,,,15.1143,-12.4594,9.8704,4.8993,-1.4546,-4.4796
1776361248.4747462,,,,,15.4313,10.0570,6.1842,4.8151,0.6365,-3.2538
1776361248.474786,,,,,25.7707,27.2231,34.3274,2.7106,1.5400,-1.2753
1776361248.474999,,,,,17.7045,21.8560,32.7637,-0.6891,2.2662,0.6322
1776361248.475188,,,,,13.0612,11.4999,26.3330,-2.9732,2.4819,1.8298
1776361248.475374,,,,,7.0205,1.9789,16.8120,-3.7877,2.4206,2.1750
1776361248.5899892,,,,,2.4395,-2.3749,7.3196,-3.9302,1.9734,2.0644
1776361248.591329,,,,,-3.1358,-2.5890,5.6339,-4.0122,1.1756,1.8389
1776361248.591599,,,,,-4.4925,-2.8534,5.0991,-4.1159,0.1730,1.6593
1776361248.5916538,,,,,-4.0798,-2.6225,5.1733,-4.1769,-0.8865,1.5902
1776361248.591906,,,,,-2.5615,-1.9011,5.7141,-4.2021,-1.7234,1.5850
1776361248.592797,,,,,-1.1318,-0.5659,6.9547,-4.2477,-2.1551,1.6029
1776361248.593069,,,,,-0.2297,0.6341,8.4395,-4.3755,-2.2043,1.6451
1776361248.6214452,,,,,-0.0610,1.4752,9.5210,-4.5903,-1.9856,1.7133
1776361248.621809,,,,,-0.9093,2.2636,10.1647,-4.8555,-1.6617,1.7801
1776361248.6220422,,,,,-4.3059,5.2116,12.2345,-5.0036,-1.6420,1.9338
1776361248.622298,,,,,-4.1348,5.6267,12.8363,-5.0036,-1.6057,1.8108
1776361248.622545,,,,,-4.2784,5.9497,13.4548,-5.0036,-1.5009,1.6235
1776361248.679978,,,,,-4.5452,6.4343,14.2995,-5.0036,-1.4158,1.4064
1776361248.6802208,,,,,-4.6050,7.0169,15.4289,-5.0036,-1.4048,1.1874
1776361248.7085052,,,,,-4.7521,7.6642,16.7246,-5.0036,-1.4668,0.9823
1776361248.709913,,,,,-4.8730,9.4074,18.2273,-5.0036,-1.6119,0.8231
1776361248.710199,,,,,-4.0822,12.3673,20.0889,-5.0036,-1.9183,0.7055
1776361248.7389162,,,,,0.7896,18.6939,22.6098,-5.0036,-1.7946,0.7613
1776361248.740821,,,,,1.8748,20.9671,22.4674,-5.0036,-1.4652,0.9849
1776361248.7410822,,,,,2.8498,23.6817,21.2494,-5.0036,-1.0725,1.3967
1776361248.741121,,,,,3.3260,26.4921,18.5731,-5.0036,-0.6077,1.8524
1776361248.743637,,,,,4.3537,30.6066,14.3198,-5.0036,-0.0588,2.2216
1776361248.798614,,,,,4.3968,35.5729,8.4132,-5.0036,0.6272,2.3414
1776361248.828556,,,,,-2.1846,38.7613,0.5563,-5.0036,1.1965,2.0737
1776361248.830466,,,,,-10.9543,38.9192,-8.8582,-5.0036,0.7860,1.8164
1776361248.8308108,,,,,-13.5242,36.1364,-17.6841,-4.6772,-0.5189,1.8025
1776361248.8308449,,,,,-8.9683,35.8935,-20.9791,-3.0882,-1.5295,1.7407
1776361248.832234,,,,,-4.8526,35.2451,-18.9727,-1.0757,-1.4384,1.3819
1776361248.832478,,,,,-3.4660,22.1934,-11.9091,0.8238,-0.5979,0.8856
1776361248.832646,,,,,-7.0756,-3.4062,12.2895,4.9993,1.7294,0.6539
1776361248.833706,,,,,0.7226,-3.0796,20.1834,5.0036,0.3870,0.7170
1776361248.833905,,,,,6.4487,8.3689,9.2004,4.8733,-0.2842,0.4583
1776361248.889777,,,,,-0.6461,0.7286,4.4124,4.8949,0.6486,-0.0848
1776361248.890932,,,,,-6.2165,10.8167,16.4590,5.0036,1.3239,-0.2773
1776361248.8911629,,,,,-3.8321,28.5141,26.9144,5.0036,1.2581,-0.7182
1776361248.921029,,,,,2.6752,32.2839,31.9968,4.7021,1.8187,-1.1632
1776361248.921249,,,,,1.1462,24.1699,23.1087,2.4377,2.6113,-1.1895
1776361248.921269,,,,,-0.9906,4.8562,12.9069,0.7014,2.1944,-0.7547
1776361248.921379,,,,,-8.0542,8.5328,14.4036,0.3800,1.7859,-0.5742
1776361248.92146,,,,,-1.0899,3.0975,11.1290,0.0289,1.0174,-0.2961
1776361248.923451,,,,,0.0993,3.2722,10.6397,0.0472,0.5411,-0.1287
1776361249.01021,,,,,-0.1615,2.7900,10.2915,0.0024,0.3531,-0.0924
1776361249.010473,,,,,-0.9176,2.9025,9.6395,-0.0082,0.2085,-0.0586
1776361249.010546,,,,,-0.4618,2.5292,9.5880,0.0250,0.1115,-0.0345
1776361249.0118852,,,,,-0.1723,2.4634,9.6610,0.0464,0.0681,-0.0232
1776361249.0121138,,,,,-0.4295,2.3832,9.7125,0.0765,-0.0017,0.0008
1776361249.0121331,,,,,-0.2931,2.5208,9.6144,0.1103,-0.0412,0.0128
1776361249.0136268,,,,,-0.2393,2.7601,9.5294,0.1475,-0.0683,0.0199
1776361249.013854,,,,,-0.4702,2.5268,9.6120,0.1814,-0.0921,0.0287
1776361249.0138738,,,,,-0.3362,2.5388,9.6766,0.2138,-0.1200,0.0397
1776361249.218616,,,,,-0.0790,2.4323,9.6814,0.2443,-0.1399,0.0417
1776361249.220767,,,,,0.1125,2.5484,9.6144,0.2757,-0.1491,0.0374
1776361249.2208698,,,,,0.1089,2.4036,9.7316,0.2845,-0.1544,0.0315
1776361249.250734,,,,,0.3194,2.9228,9.5210,0.2888,-0.1492,0.0208
1776361249.2509289,,,,,0.4415,2.6620,9.5689,0.2860,-0.1329,0.0044
1776361249.2510898,,,,,0.4164,2.5807,9.5856,0.2842,-0.1058,-0.0157
1776361249.251217,,,,,0.1986,3.0305,9.4122,0.2831,-0.0808,-0.0405
1776361249.251294,,,,,-0.0263,2.7254,9.4433,0.2685,-0.0681,-0.0469
1776361249.28086,,,,,0.1292,2.6548,9.5486,0.2459,-0.0507,-0.0444
1776361249.281198,,,,,0.0682,2.7697,9.3440,0.2279,-0.0246,-0.0531
1776361249.283552,,,,,-0.1424,3.0580,9.4062,0.2292,0.0003,-0.0625
1776361249.283815,,,,,-0.3721,2.6094,10.1145,0.4317,0.1584,-0.2566
1776361249.284,,,,,-0.2548,2.3617,10.3167,0.5774,0.1411,-0.2654
1776361249.28438,,,,,-0.5503,2.4526,10.4602,0.7695,0.1292,-0.2639
1776361249.284649,,,,,-0.2154,2.0722,10.6552,1.0145,0.1078,-0.2896
