time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776367912.004572,,,,,-0.6197,3.4863,9.2171,0.0278,-0.0609,-0.0125
1776367912.0326889,,,,,-0.6508,3.4971,9.2064,0.0263,-0.0594,-0.0124
1776367912.0346398,,,,,-0.6461,3.4756,9.2052,0.0254,-0.0586,-0.0124
1776367912.034983,,,,,-0.6568,3.4935,9.2088,0.0243,-0.0593,-0.0121
1776367912.035017,,,,,-0.6473,3.4959,9.2052,0.0231,-0.0606,-0.0121
1776367912.035894,,,,,-0.6688,3.4863,9.2124,0.0229,-0.0619,-0.0118
1776367912.038074,,,,,-0.6389,3.4899,9.2195,0.0208,-0.0628,-0.0108
1776367912.0383449,,,,,-0.6257,3.4923,9.2064,0.0182,-0.0619,-0.0128
1776367912.0383859,,,,,-0.6413,3.4744,9.2100,0.0194,-0.0619,-0.0128
1776367912.1227572,,,,,-0.6437,3.4959,9.2183,0.0179,-0.0626,-0.0115
1776367912.124446,,,,,-0.6544,3.4947,9.2195,0.0188,-0.0629,-0.0115
1776367912.127132,,,,,-0.6269,3.4756,9.2040,0.0186,-0.0615,-0.0122
1776367912.127383,,,,,-0.6293,3.4863,9.1968,0.0186,-0.0619,-0.0121
1776367912.127697,,,,,-0.6329,3.4947,9.1980,0.0180,-0.0614,-0.0116
1776367912.127889,,,,,-0.6485,3.4899,9.2207,0.0177,-0.0619,-0.0107
1776367912.128082,,,,,-0.6317,3.4995,9.2076,0.0165,-0.0622,-0.0111
1776367912.128267,,,,,-0.6281,3.4768,9.2088,0.0165,-0.0614,-0.0118
1776367912.128902,,,,,-0.6353,3.4911,9.1980,0.0157,-0.0619,-0.0113
1776367912.215171,,,,,-0.6461,3.4947,9.2052,0.0147,-0.0620,-0.0125
1776367912.215394,,,,,-0.6138,3.4660,9.2183,0.0151,-0.0622,-0.0125
1776367912.215412,,,,,-0.6329,3.4648,9.1980,0.0168,-0.0614,-0.0127
1776367912.244524,,,,,-0.6269,3.4421,9.2040,0.0173,-0.0589,-0.0124
1776367912.244542,,,,,-0.5946,3.4660,9.2040,0.0203,-0.0591,-0.0125
1776367912.244552,,,,,-0.6736,3.4720,9.2124,0.0215,-0.0596,-0.0127
1776367912.2447062,,,,,-0.6365,3.4588,9.1944,0.0237,-0.0602,-0.0121
1776367912.246366,,,,,-0.6365,3.4923,9.2160,0.0258,-0.0619,-0.0119
1776367912.246378,,,,,-0.7059,3.4863,9.2088,0.0258,-0.0638,-0.0122
1776367912.248886,,,,,-0.6987,3.4935,9.1968,0.0237,-0.0692,-0.0108
1776367912.248978,,,,,-0.6688,3.5007,9.2136,0.0229,-0.0738,-0.0096
1776367912.249032,,,,,-0.6616,3.4947,9.2088,0.0217,-0.0762,-0.0105
1776367912.304087,,,,,-0.6329,3.4923,9.2183,0.0220,-0.0786,-0.0105
1776367912.304276,,,,,-0.5838,3.4816,9.2219,0.0229,-0.0786,-0.0104
1776367912.362701,,,,,-0.6449,3.5079,9.2183,0.0243,-0.0777,-0.0115
1776367912.3645492,,,,,-0.6018,3.4457,9.1968,0.0246,-0.0779,-0.0142
1776367912.3649778,,,,,-0.6305,3.4385,9.1884,0.0260,-0.0753,-0.0130
1776367912.365032,,,,,-0.6437,3.4696,9.1884,0.0278,-0.0745,-0.0116
1776367912.3657432,,,,,-0.6317,3.5007,9.1932,0.0292,-0.0738,-0.0110
1776367912.365987,,,,,-0.6640,3.5055,9.1884,0.0292,-0.0745,-0.0105
1776367912.394473,,,,,-0.6473,3.4660,9.1992,0.0278,-0.0767,-0.0093
1776367912.394897,,,,,-0.6353,3.5055,9.2064,0.0286,-0.0773,-0.0096
1776367912.394939,,,,,-0.6281,3.5067,9.2100,0.0281,-0.0790,-0.0104
1776367912.394973,,,,,-0.6269,3.4851,9.1825,0.0255,-0.0773,-0.0096
1776367912.395781,,,,,-0.5994,3.4277,9.1968,0.0252,-0.0757,-0.0090
1776367912.395995,,,,,-0.6173,3.5019,9.1908,0.0296,-0.0754,-0.0082
1776367912.4526331,,,,,-0.6257,3.4959,9.2016,0.0293,-0.0754,-0.0079
1776367912.454493,,,,,-0.6018,3.5151,9.2076,0.0284,-0.0765,-0.0084
1776367912.45485,,,,,-0.6126,3.5294,9.2136,0.0260,-0.0762,-0.0087
1776367912.454885,,,,,-0.5982,3.5079,9.1968,0.0244,-0.0761,-0.0086
1776367912.455816,,,,,-0.6138,3.4899,9.1801,0.0237,-0.0741,-0.0090
1776367912.456038,,,,,-0.6329,3.4014,9.1490,0.0254,-0.0724,-0.0090
1776367912.512577,,,,,-0.6173,3.3368,9.1310,0.0334,-0.0722,-0.0075
1776367912.514872,,,,,-0.6102,3.3966,9.1573,0.0460,-0.0728,-0.0060
1776367912.515229,,,,,-0.5922,3.4493,9.1681,0.0530,-0.0730,-0.0041
1776367912.515413,,,,,-0.5671,3.5210,9.2004,0.0554,-0.0719,-0.0044
1776367912.517324,,,,,-0.5719,3.5294,9.2195,0.0545,-0.0702,-0.0055
1776367912.517556,,,,,-0.6090,3.4959,9.2040,0.0535,-0.0702,-0.0052
1776367912.5741282,,,,,-0.6341,3.4911,9.2327,0.0557,-0.0716,-0.0047
1776367912.574472,,,,,-0.6162,3.5318,9.2160,0.0576,-0.0722,-0.0031
1776367912.574722,,,,,-0.5862,3.5629,9.2160,0.0567,-0.0721,-0.0035
1776367912.604426,,,,,-0.5850,3.6215,9.1944,0.0530,-0.0702,-0.0046
1776367912.6046238,,,,,-0.5922,3.5689,9.2040,0.0455,-0.0693,-0.0044
1776367912.604904,,,,,-0.5755,3.5749,9.1980,0.0421,-0.0663,-0.0047
1776367912.605897,,,,,-0.5874,3.5761,9.1884,0.0388,-0.0631,-0.0057
1776367912.606177,,,,,-0.5898,3.5593,9.1848,0.0348,-0.0606,-0.0066
1776367912.6062222,,,,,-0.6150,3.5809,9.2052,0.0336,-0.0600,-0.0066
1776367912.662984,,,,,-0.5791,3.5833,9.2064,0.0243,-0.0565,-0.0046
1776367912.663815,,,,,-0.5838,3.6024,9.1836,0.0194,-0.0528,-0.0038
1776367912.664045,,,,,-0.5671,3.5952,9.1741,0.0139,-0.0515,-0.0047
1776367912.692608,,,,,-0.5683,3.5833,9.1860,0.0090,-0.0475,-0.0063
1776367912.694458,,,,,-0.6209,3.5725,9.1908,0.0060,-0.0449,-0.0073
1776367912.6947489,,,,,-0.6544,3.5809,9.2100,0.0018,-0.0438,-0.0073
1776367912.69479,,,,,-0.6413,3.5234,9.1836,-0.0006,-0.0444,-0.0047
1776367912.6958232,,,,,-0.5982,3.5198,9.1980,0.0008,-0.0461,-0.0027
1776367912.6960151,,,,,-0.5970,3.5174,9.2112,0.0021,-0.0472,-0.0035
1776367912.752658,,,,,-0.5994,3.5127,9.1932,0.0029,-0.0481,-0.0047
1776367912.7549891,,,,,-0.5647,3.5115,9.1848,0.0037,-0.0489,-0.0057
1776367912.755308,,,,,-0.5886,3.5031,9.1836,0.0040,-0.0449,-0.0076
1776367912.755349,,,,,-0.6820,3.5378,9.1944,0.0055,-0.0447,-0.0082
1776367912.7576919,,,,,-0.6353,3.5091,9.1657,0.0041,-0.0463,-0.0072
1776367912.757802,,,,,-0.5611,3.4469,9.1717,0.0053,-0.0463,-0.0075
1776367912.812594,,,,,-0.5910,3.4911,9.1932,0.0113,-0.0438,-0.0087
1776367912.814564,,,,,-0.5779,3.4804,9.1765,0.0133,-0.0438,-0.0096
1776367912.81476,,,,,-0.5396,3.4816,9.1944,0.0151,-0.0420,-0.0104
1776367912.815867,,,,,-0.6269,3.5043,9.2136,0.0160,-0.0397,-0.0116
1776367912.819576,,,,,-0.6927,3.5581,9.2052,0.0192,-0.0425,-0.0122
1776367912.819655,,,,,-0.6520,3.5390,9.1705,0.0182,-0.0466,-0.0124
1776367912.819961,,,,,-0.6293,3.5581,9.1836,0.0174,-0.0489,-0.0111
1776367912.874736,,,,,-0.6269,3.5474,9.1896,0.0127,-0.0499,-0.0104
1776367912.875206,,,,,-0.5755,3.5318,9.2112,0.0090,-0.0495,-0.0119
1776367912.875477,,,,,-0.6616,3.6036,9.2243,0.0069,-0.0486,-0.0134
1776367912.87577,,,,,-0.6461,3.5031,9.2112,0.0021,-0.0493,-0.0148
1776367912.9057999,,,,,-0.5779,3.5474,9.2195,0.0038,-0.0490,-0.0150
1776367912.905975,,,,,-0.6820,3.5450,9.1968,0.0015,-0.0467,-0.0154
1776367912.962636,,,,,-0.6401,3.5725,9.2100,-0.0024,-0.0484,-0.0148
1776367912.964535,,,,,-0.6185,3.5856,9.2279,-0.0110,-0.0536,-0.0133
1776367912.964743,,,,,-0.6221,3.5737,9.2243,-0.0148,-0.0531,-0.0142
1776367912.9663181,,,,,-0.5695,3.5234,9.2363,-0.0186,-0.0495,-0.0173
1776367912.966688,,,,,-0.6556,3.4863,9.2004,-0.0205,-0.0460,-0.0203
1776367912.9667299,,,,,-0.6891,3.4923,9.2255,-0.0214,-0.0490,-0.0191
1776367912.966963,,,,,-0.7071,3.5103,9.2387,-0.0197,-0.0544,-0.0185
1776367912.968013,,,,,-0.6580,3.5127,9.2195,-0.0192,-0.0588,-0.0171
1776367913.0235908,,,,,-0.4798,3.4445,9.1944,-0.0185,-0.0640,-0.0154
1776367913.024726,,,,,-0.5336,3.3858,9.1597,-0.0162,-0.0542,-0.0195
1776367913.024906,,,,,-0.5408,3.4062,9.1944,-0.0127,-0.0467,-0.0237
1776367913.055821,,,,,-0.6413,3.3870,9.1765,-0.0092,-0.0403,-0.0261
1776367913.0560489,,,,,-0.5838,3.4528,9.2100,-0.0035,-0.0373,-0.0254
1776367913.0561862,,,,,-0.6592,3.4397,9.2016,-0.0032,-0.0360,-0.0267
1776367913.145809,,,,,-0.5025,3.3942,9.2040,-0.0020,-0.0333,-0.0281
1776367913.1461499,,,,,-0.6772,3.4158,9.1956,0.0009,-0.0308,-0.0318
1776367913.146392,,,,,-0.6257,3.4481,9.2387,0.0020,-0.0322,-0.0338
1776367913.146652,,,,,-0.7011,3.5450,9.2901,0.0015,-0.0394,-0.0374
1776367913.1469388,,,,,-0.6592,3.5402,9.2925,-0.0043,-0.0553,-0.0444
1776367913.14714,,,,,-0.7454,3.4851,9.1944,-0.0090,-0.0620,-0.0493
1776367913.1498592,,,,,-0.6927,3.4612,9.1753,-0.0108,-0.0629,-0.0481
1776367913.150174,,,,,-0.6700,3.4229,9.1836,-0.0128,-0.0628,-0.0449
1776367913.150207,,,,,-0.7370,3.4289,9.1825,-0.0124,-0.0562,-0.0428
1776367913.1741,,,,,-0.5791,3.4433,9.2267,-0.0102,-0.0579,-0.0409
1776367913.174401,,,,,-0.6676,3.3559,9.1753,-0.0093,-0.0559,-0.0371
1776367913.174436,,,,,-0.6999,3.4265,9.2112,-0.0049,-0.0542,-0.0360
1776367913.176072,,,,,-0.8052,3.5868,9.2710,-0.0098,-0.0622,-0.0365
1776367913.176296,,,,,-0.6975,3.5163,9.2363,-0.0195,-0.0654,-0.0402
1776367913.176395,,,,,-0.6042,3.3954,9.2112,-0.0276,-0.0644,-0.0418
1776367913.292761,,,,,-0.5779,3.3236,9.1944,-0.0221,-0.0524,-0.0392
1776367913.293788,,,,,-0.7358,3.3942,9.2088,-0.0165,-0.0504,-0.0385
1776367913.293993,,,,,-0.6532,3.3404,9.2136,-0.0137,-0.0498,-0.0365
1776367913.3226418,,,,,-0.6891,3.4469,9.2530,-0.0093,-0.0521,-0.0334
1776367913.323838,,,,,-0.7334,3.4134,9.2387,-0.0087,-0.0533,-0.0348
1776367913.35258,,,,,-0.6209,3.3870,9.2303,-0.0075,-0.0539,-0.0331
1776367913.3545809,,,,,-0.6640,3.4014,9.2495,0.0024,-0.0504,-0.0330
1776367913.354727,,,,,-0.6042,3.3045,9.2303,0.0072,-0.0467,-0.0328
1776367913.354847,,,,,-0.6568,3.3882,9.2327,0.0072,-0.0454,-0.0315
1776367913.356626,,,,,-0.7430,3.4433,9.2399,0.0053,-0.0446,-0.0308
1776367913.356842,,,,,-0.7549,3.3308,9.1956,0.0098,-0.0431,-0.0283
