time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775505012.798439,,,1.1689,0.6006,9.8883,0.0156,-0.0597,-0.0131
1775505012.826096,,,1.1665,0.6126,9.8812,0.0159,-0.0593,-0.0127
1775505012.8269491,,,1.1665,0.6150,9.8979,0.0177,-0.0593,-0.0133
1775505012.827187,,,1.1725,0.6269,9.9015,0.0177,-0.0585,-0.0127
1775505012.829026,,,1.1749,0.6185,9.8967,0.0170,-0.0571,-0.0115
1775505012.886407,,,1.1785,0.6221,9.8859,0.0168,-0.0571,-0.0104
1775505012.888629,,,1.1366,0.6090,9.9087,0.0162,-0.0564,-0.0116
1775505012.9182432,,,1.1450,0.6173,9.8991,0.0150,-0.0553,-0.0099
1775505012.918525,,,1.1653,0.6018,9.8764,0.0148,-0.0579,-0.0089
1775505012.918719,,,1.1701,0.6257,9.8931,0.0136,-0.0564,-0.0096
1775505012.9188879,,,1.1689,0.6365,9.8907,0.0133,-0.0586,-0.0086
1775505012.976933,,,1.1533,0.6126,9.9015,0.0111,-0.0593,-0.0086
1775505012.9789371,,,1.1749,0.6209,9.8943,0.0110,-0.0615,-0.0082
1775505013.0080209,,,1.1330,0.5874,9.9015,0.0110,-0.0611,-0.0081
1775505013.008299,,,1.1689,0.6353,9.8824,0.0096,-0.0612,-0.0078
1775505013.008503,,,1.1904,0.6281,9.8895,0.0089,-0.0614,-0.0093
1775505013.009834,,,1.1282,0.5850,9.8955,0.0076,-0.0609,-0.0084
1775505013.0100229,,,1.1462,0.5946,9.8955,0.0070,-0.0614,-0.0093
1775505013.0967941,,,1.1581,0.6042,9.8943,0.0079,-0.0631,-0.0084
1775505013.0978172,,,1.1713,0.5874,9.8728,0.0076,-0.0629,-0.0096
1775505013.12624,,,1.1785,0.5934,9.8859,0.0089,-0.0629,-0.0107
1775505013.127778,,,1.1653,0.5922,9.8895,0.0098,-0.0628,-0.0105
1775505013.13095,,,1.1557,0.5815,9.8955,0.0105,-0.0634,-0.0113
1775505013.131266,,,1.1498,0.6030,9.8931,0.0108,-0.0644,-0.0104
1775505013.131306,,,1.1557,0.6006,9.8859,0.0115,-0.0651,-0.0102
1775505013.131545,,,1.1677,0.6030,9.8967,0.0110,-0.0664,-0.0105
1775505013.158168,,,1.1665,0.5958,9.8776,0.0098,-0.0655,-0.0107
1775505013.21646,,,1.1665,0.5946,9.8883,0.0102,-0.0648,-0.0108
1775505013.217868,,,1.1689,0.5922,9.8931,0.0099,-0.0669,-0.0105
1775505013.218077,,,1.1653,0.6006,9.8979,0.0098,-0.0672,-0.0101
1775505013.245589,,,1.1713,0.5922,9.8919,0.0108,-0.0692,-0.0102
1775505013.2473118,,,1.1689,0.5886,9.8919,0.0108,-0.0687,-0.0096
1775505013.247568,,,1.1701,0.6018,9.8847,0.0108,-0.0686,-0.0093
1775505013.2477171,,,1.1856,0.6114,9.8919,0.0098,-0.0693,-0.0082
