time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775504745.044023,,,1.2730,0.4164,9.8835,0.0121,-0.0480,-0.0189
1775504745.072938,,,1.2550,0.4319,9.8847,0.0133,-0.0513,-0.0177
1775504745.07452,,,1.2814,0.4475,9.8991,0.0150,-0.0568,-0.0165
1775504745.074636,,,1.3041,0.4475,9.8788,0.0130,-0.0588,-0.0145
1775504745.074643,,,1.3280,0.4247,9.8656,0.0127,-0.0593,-0.0127
1775504745.075944,,,1.3232,0.4235,9.8835,0.0139,-0.0568,-0.0140
1775504745.077904,,,1.3280,0.4451,9.8859,0.0151,-0.0548,-0.0147
1775504745.0779362,,,1.2885,0.3864,9.8572,0.0182,-0.0507,-0.0208
1775504745.077999,,,1.2538,0.4211,9.8800,0.0231,-0.0518,-0.0220
1775504745.1325939,,,1.2323,0.3817,9.8536,0.0307,-0.0583,-0.0205
1775504745.133932,,,1.3029,0.3817,9.8369,0.0344,-0.0594,-0.0215
1775504745.162539,,,1.3364,0.4128,9.8429,0.0383,-0.0599,-0.0235
1775504745.16367,,,1.2861,0.4522,9.9123,0.0406,-0.0583,-0.0275
1775504745.28284,,,1.2562,0.4475,9.9015,0.0392,-0.0632,-0.0276
1775504745.283944,,,1.3304,0.4833,9.9170,0.0408,-0.0611,-0.0240
1775504745.312691,,,1.2502,0.4774,9.9039,0.0368,-0.0644,-0.0214
1775504745.314838,,,1.3065,0.4283,9.8441,0.0348,-0.0680,-0.0191
1775504745.315058,,,1.3220,0.4833,9.8991,0.0386,-0.0667,-0.0214
1775504745.317204,,,1.3065,0.4630,9.8979,0.0391,-0.0678,-0.0220
1775504745.317439,,,1.2670,0.5192,9.8955,0.0333,-0.0704,-0.0165
1775504745.463049,,,1.3125,0.4499,9.8728,0.0322,-0.0724,-0.0150
1775504745.464687,,,1.3101,0.4905,9.8824,0.0250,-0.0738,-0.0119
1775504745.4650502,,,1.3137,0.4522,9.8584,0.0226,-0.0738,-0.0110
1775504745.465088,,,1.3244,0.4750,9.8931,0.0249,-0.0725,-0.0110
1775504745.4668858,,,1.3316,0.4845,9.8824,0.0246,-0.0716,-0.0113
1775504745.46718,,,1.3364,0.4714,9.8740,0.0220,-0.0721,-0.0122
1775504745.467253,,,1.3340,0.4714,9.8776,0.0212,-0.0716,-0.0125
1775504745.467465,,,1.3484,0.4798,9.8728,0.0214,-0.0693,-0.0140
1775504745.468868,,,1.3232,0.5121,9.9123,0.0197,-0.0684,-0.0136
1775504745.523257,,,1.3304,0.4857,9.8835,0.0147,-0.0744,-0.0070
1775504745.524837,,,1.3400,0.4905,9.8895,0.0144,-0.0757,-0.0069
1775504745.5543191,,,1.3292,0.5061,9.9075,0.0127,-0.0782,-0.0057
1775504745.5547001,,,1.3280,0.5085,9.8991,0.0101,-0.0788,-0.0050
1775504745.5548549,,,1.3651,0.4714,9.8632,0.0096,-0.0803,-0.0032
1775504745.555114,,,1.3735,0.4319,9.8548,0.0110,-0.0800,-0.0038
1775504745.612931,,,1.3543,0.4678,9.8776,0.0160,-0.0771,-0.0064
1775504745.614759,,,1.3412,0.4762,9.8776,0.0185,-0.0774,-0.0069
1775504745.672957,,,1.3460,0.4822,9.8788,0.0194,-0.0786,-0.0066
1775504745.673874,,,1.3711,0.4941,9.8656,0.0130,-0.0785,-0.0050
1775504745.674092,,,1.3316,0.4881,9.8584,0.0099,-0.0799,-0.0050
1775504745.702699,,,1.4237,0.5240,9.8824,0.0040,-0.0800,-0.0046
1775504745.703887,,,1.3986,0.4881,9.8812,-0.0002,-0.0773,-0.0043
1775504745.705996,,,1.4034,0.4510,9.8644,0.0020,-0.0744,-0.0047
1775504745.734514,,,1.4429,0.3912,9.8213,0.0058,-0.0719,-0.0058
1775504745.734934,,,1.3591,0.4618,9.8632,0.0095,-0.0643,-0.0107
1775504745.7349792,,,1.4309,0.4582,9.8512,0.0069,-0.0605,-0.0105
1775504745.7350452,,,1.3902,0.4367,9.8489,0.0061,-0.0568,-0.0121
1775504745.736019,,,1.4106,0.4558,9.8548,0.0044,-0.0512,-0.0145
1775504745.793901,,,1.3902,0.4546,9.8680,0.0040,-0.0498,-0.0142
1775504745.796741,,,1.4010,0.4116,9.8154,0.0021,-0.0483,-0.0153
1775504745.8542101,,,1.3627,0.4008,9.8393,0.0113,-0.0428,-0.0221
1775504745.882731,,,1.4584,0.4044,9.9075,0.0153,-0.0443,-0.0249
1775504745.912669,,,1.4417,0.5288,9.9003,0.0174,-0.0414,-0.0250
1775504745.9156191,,,1.3161,0.3529,9.7675,0.0173,-0.0467,-0.0278
1775504745.9158568,,,1.4752,0.3781,9.8584,0.0281,-0.0463,-0.0338
1775504745.972745,,,1.3364,0.4295,9.8871,0.0243,-0.0426,-0.0333
1775504745.974603,,,1.3519,0.4965,9.9194,0.0264,-0.0437,-0.0330
1775504745.974884,,,1.3819,0.4403,9.8489,0.0292,-0.0386,-0.0341
1775504745.97492,,,1.3567,0.5372,9.9194,0.0312,-0.0370,-0.0362
1775504745.979124,,,1.4034,0.4223,9.8967,0.0261,-0.0347,-0.0336
1775504745.9794502,,,1.3771,0.5324,9.9230,0.0205,-0.0365,-0.0321
1775504745.97967,,,1.3747,0.4355,9.8919,0.0145,-0.0331,-0.0290
1775504745.9798028,,,1.3938,0.4774,9.8704,0.0118,-0.0341,-0.0286
1775504745.980008,,,1.2885,0.4941,9.9505,0.0131,-0.0365,-0.0292
1775504746.003978,,,1.3089,0.4953,9.9027,0.0101,-0.0402,-0.0229
1775504746.004277,,,1.3460,0.4810,9.8800,0.0104,-0.0437,-0.0220
1775504746.0043159,,,1.3292,0.4702,9.8919,0.0105,-0.0440,-0.0206
1775504746.0060291,,,1.3184,0.4977,9.9278,0.0121,-0.0452,-0.0220
1775504746.063651,,,1.3220,0.4499,9.8752,0.0102,-0.0454,-0.0203
1775504746.064836,,,1.2933,0.4594,9.8883,0.0095,-0.0458,-0.0199
1775504746.093889,,,1.3340,0.4403,9.8536,0.0098,-0.0469,-0.0188
1775504746.096707,,,1.3316,0.4367,9.8752,0.0105,-0.0464,-0.0183
1775504746.096868,,,1.3268,0.4463,9.8716,0.0122,-0.0454,-0.0203
1775504746.124032,,,1.3316,0.4463,9.8883,0.0118,-0.0446,-0.0208
1775504746.152651,,,1.2957,0.4558,9.8871,0.0098,-0.0455,-0.0180
