time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776367000.982311,,,,,-0.6114,3.5139,9.2016,0.0154,-0.0596,-0.0121
1776367001.040092,,,,,-0.5994,3.4911,9.1884,0.0154,-0.0585,-0.0130
1776367001.0420449,,,,,-0.6341,3.5007,9.2028,0.0159,-0.0568,-0.0134
1776367001.042351,,,,,-0.6544,3.4995,9.1968,0.0150,-0.0571,-0.0133
1776367001.0426612,,,,,-0.6233,3.4959,9.1968,0.0157,-0.0603,-0.0121
1776367001.04321,,,,,-0.6305,3.4887,9.1801,0.0150,-0.0594,-0.0115
1776367001.045064,,,,,-0.6413,3.4959,9.2016,0.0151,-0.0599,-0.0128
1776367001.045266,,,,,-0.5946,3.4887,9.2016,0.0154,-0.0609,-0.0116
1776367001.1299572,,,,,-0.6030,3.5007,9.2016,0.0170,-0.0602,-0.0125
1776367001.281795,,,,,-0.6197,3.4780,9.2016,0.0174,-0.0593,-0.0133
1776367001.282238,,,,,-0.6114,3.4720,9.1944,0.0174,-0.0574,-0.0136
1776367001.282444,,,,,-0.6257,3.5043,9.1825,0.0186,-0.0564,-0.0136
1776367001.2834969,,,,,-0.6209,3.4899,9.1944,0.0197,-0.0559,-0.0140
1776367001.2839072,,,,,-0.6006,3.5151,9.2064,0.0199,-0.0553,-0.0150
1776367001.283948,,,,,-0.6724,3.5163,9.1932,0.0191,-0.0557,-0.0147
1776367001.2841039,,,,,-0.6078,3.5103,9.1992,0.0176,-0.0548,-0.0140
1776367001.285516,,,,,-0.6700,3.5139,9.1944,0.0165,-0.0547,-0.0137
1776367001.285738,,,,,-0.6173,3.5079,9.2016,0.0163,-0.0560,-0.0144
1776367001.285774,,,,,-0.6365,3.4971,9.1884,0.0151,-0.0547,-0.0148
1776367001.341119,,,,,-0.6317,3.4971,9.1920,0.0160,-0.0545,-0.0145
1776367001.3420758,,,,,-0.6592,3.4684,9.1956,0.0156,-0.0535,-0.0148
1776367001.3422,,,,,-0.6748,3.4828,9.1836,0.0162,-0.0535,-0.0150
1776367001.342277,,,,,-0.6209,3.5031,9.1980,0.0171,-0.0541,-0.0142
1776367001.342359,,,,,-0.6317,3.4983,9.1992,0.0171,-0.0538,-0.0142
1776367001.4311628,,,,,-0.6114,3.4947,9.1932,0.0157,-0.0527,-0.0162
1776367001.551828,,,,,-0.6867,3.5055,9.1908,0.0160,-0.0512,-0.0163
1776367001.581571,,,,,-0.6293,3.4971,9.1908,0.0157,-0.0519,-0.0157
1776367001.581961,,,,,-0.7023,3.4899,9.1908,0.0157,-0.0528,-0.0156
1776367001.5819929,,,,,-0.6544,3.5031,9.2028,0.0159,-0.0554,-0.0140
1776367001.6424088,,,,,-0.6401,3.4959,9.1992,0.0162,-0.0553,-0.0145
1776367001.642804,,,,,-0.6784,3.4983,9.1813,0.0156,-0.0541,-0.0148
1776367001.642951,,,,,-0.6126,3.4816,9.2052,0.0148,-0.0541,-0.0154
1776367001.6431758,,,,,-0.5874,3.4612,9.2028,0.0159,-0.0577,-0.0139
1776367001.6433432,,,,,-0.7250,3.4995,9.1932,0.0168,-0.0553,-0.0150
1776367001.731369,,,,,-0.6425,3.4875,9.1908,0.0176,-0.0582,-0.0134
1776367001.732357,,,,,-0.6580,3.4708,9.1920,0.0168,-0.0562,-0.0142
1776367001.7352488,,,,,-0.6772,3.4911,9.1944,0.0170,-0.0554,-0.0145
1776367001.7354188,,,,,-0.6855,3.5031,9.2028,0.0166,-0.0567,-0.0144
1776367001.735511,,,,,-0.6748,3.4887,9.2052,0.0165,-0.0576,-0.0134
1776367001.73562,,,,,-0.7023,3.5031,9.1992,0.0176,-0.0588,-0.0136
1776367001.735772,,,,,-0.6712,3.4959,9.1980,0.0173,-0.0593,-0.0134
1776367001.7357922,,,,,-0.6724,3.4971,9.1908,0.0165,-0.0588,-0.0133
1776367001.735822,,,,,-0.6808,3.4851,9.1944,0.0162,-0.0603,-0.0130
1776367001.735931,,,,,-0.6604,3.4887,9.1956,0.0160,-0.0603,-0.0134
1776367001.913097,,,,,-0.6712,3.4911,9.2076,0.0160,-0.0596,-0.0134
1776367001.913465,,,,,-0.6437,3.4851,9.2040,0.0162,-0.0603,-0.0130
1776367001.913537,,,,,-0.6915,3.4875,9.1932,0.0177,-0.0608,-0.0137
1776367001.9137301,,,,,-0.6556,3.4816,9.1944,0.0170,-0.0625,-0.0134
1776367001.914547,,,,,-0.6796,3.4804,9.1872,0.0165,-0.0615,-0.0137
1776367001.914689,,,,,-0.6520,3.4768,9.2052,0.0166,-0.0606,-0.0125
1776367001.9148328,,,,,-0.6628,3.4851,9.1968,0.0174,-0.0593,-0.0134
1776367001.917517,,,,,-0.6628,3.4828,9.1884,0.0177,-0.0589,-0.0133
1776367001.942799,,,,,-0.5671,3.4528,9.1944,0.0250,-0.0586,-0.0130
1776367001.943071,,,,,-0.7633,3.4493,9.1741,0.0278,-0.0612,-0.0111
1776367001.943237,,,,,-0.6867,3.4672,9.1789,0.0308,-0.0643,-0.0099
1776367001.943475,,,,,-0.6401,3.4385,9.2040,0.0345,-0.0614,-0.0104
1776367001.943637,,,,,-0.7071,3.4672,9.2004,0.0360,-0.0629,-0.0098
1776367002.300137,,,,,-0.7238,3.4708,9.1705,0.0391,-0.0666,-0.0087
1776367002.360744,,,,,-0.5886,3.4421,9.1825,0.0417,-0.0608,-0.0104
1776367002.570169,,,,,-0.6532,3.4528,9.1908,0.0446,-0.0588,-0.0115
1776367002.571845,,,,,-0.6879,3.4828,9.1836,0.0435,-0.0582,-0.0115
1776367002.5721579,,,,,-0.6640,3.5067,9.1884,0.0438,-0.0577,-0.0104
1776367002.5722082,,,,,-0.6401,3.4792,9.1836,0.0452,-0.0557,-0.0118
1776367002.573289,,,,,-0.6604,3.5079,9.1944,0.0461,-0.0565,-0.0118
1776367002.573504,,,,,-0.6999,3.6096,9.1549,0.0183,-0.0599,-0.0118
1776367002.57512,,,,,-0.7166,3.5773,9.1561,0.0165,-0.0611,-0.0121
1776367002.575397,,,,,-0.6843,3.5964,9.1657,0.0162,-0.0615,-0.0118
1776367002.575559,,,,,-0.6556,3.5785,9.1513,0.0156,-0.0606,-0.0122
1776367002.6902,,,,,-0.7083,3.5892,9.1466,0.0153,-0.0603,-0.0130
1776367002.691255,,,,,-0.7717,3.5725,9.1394,0.0137,-0.0589,-0.0131
1776367002.691473,,,,,-0.5958,3.5713,9.1717,0.0134,-0.0603,-0.0121
1776367002.7199218,,,,,-0.7119,3.5833,9.1597,0.0134,-0.0573,-0.0136
1776367002.721815,,,,,-0.7095,3.5821,9.1501,0.0124,-0.0582,-0.0133
1776367002.7221,,,,,-0.6724,3.5689,9.1669,0.0119,-0.0612,-0.0124
1776367002.7221289,,,,,-0.7358,3.5964,9.1490,0.0119,-0.0605,-0.0128
1776367002.7233,,,,,-0.7119,3.5916,9.1573,0.0108,-0.0634,-0.0115
1776367002.7234921,,,,,-0.5946,3.5270,9.1561,0.0096,-0.0626,-0.0122
1776367002.725087,,,,,-0.7980,3.6120,9.1537,0.0107,-0.0611,-0.0128
1776367002.7253718,,,,,-0.6030,3.5904,9.1609,0.0076,-0.0629,-0.0119
1776367002.7254112,,,,,-0.6975,3.5797,9.1669,0.0057,-0.0615,-0.0137
1776367002.725588,,,,,-0.7083,3.6215,9.1681,0.0009,-0.0622,-0.0128
1776367002.751324,,,,,-0.6305,3.5964,9.1789,-0.0023,-0.0600,-0.0133
1776367002.751552,,,,,-0.7238,3.6096,9.1753,-0.0064,-0.0605,-0.0144
1776367002.753029,,,,,-0.6879,3.5940,9.1466,-0.0096,-0.0602,-0.0133
1776367002.812125,,,,,-0.6616,3.4732,9.1657,-0.0034,-0.0593,-0.0137
1776367002.812511,,,,,-0.7107,3.4720,9.1693,0.0066,-0.0588,-0.0137
1776367002.812734,,,,,-0.7023,3.5629,9.1609,0.0130,-0.0609,-0.0119
1776367002.812877,,,,,-0.6999,3.5545,9.1549,0.0140,-0.0631,-0.0122
1776367002.813728,,,,,-0.6879,3.5581,9.1621,0.0134,-0.0641,-0.0111
1776367002.816239,,,,,-0.7011,3.5557,9.1681,0.0130,-0.0635,-0.0118
1776367002.816461,,,,,-0.6532,3.5462,9.1693,0.0121,-0.0637,-0.0122
1776367002.816608,,,,,-0.7274,3.5390,9.1573,0.0113,-0.0631,-0.0122
1776367002.8168151,,,,,-0.7190,3.5521,9.1693,0.0139,-0.0644,-0.0108
1776367002.8169842,,,,,-0.6843,3.5593,9.1669,0.0136,-0.0649,-0.0111
1776367002.8429718,,,,,-0.6903,3.5509,9.1777,0.0127,-0.0657,-0.0105
1776367002.8431811,,,,,-0.6760,3.5498,9.1657,0.0122,-0.0661,-0.0105
1776367002.90128,,,,,-0.6820,3.5426,9.1741,0.0130,-0.0666,-0.0102
1776367002.903019,,,,,-0.6808,3.5545,9.1681,0.0136,-0.0666,-0.0110
1776367002.90332,,,,,-0.6855,3.5163,9.1657,0.0133,-0.0677,-0.0104
1776367002.903363,,,,,-0.6867,3.5234,9.1693,0.0156,-0.0678,-0.0107
1776367002.903585,,,,,-0.6772,3.5438,9.1621,0.0166,-0.0661,-0.0108
1776367002.906276,,,,,-0.6843,3.5414,9.1729,0.0168,-0.0660,-0.0108
1776367002.906524,,,,,-0.6903,3.5629,9.1729,0.0157,-0.0651,-0.0101
1776367002.9065652,,,,,-0.6784,3.5545,9.1729,0.0142,-0.0644,-0.0105
1776367002.906792,,,,,-0.6736,3.5605,9.1729,0.0140,-0.0649,-0.0107
1776367002.9914482,,,,,-0.6628,3.5545,9.1633,0.0099,-0.0622,-0.0115
1776367002.993064,,,,,-0.6951,3.5079,9.1777,0.0099,-0.0606,-0.0130
1776367002.996601,,,,,-0.6987,3.5605,9.1753,0.0128,-0.0608,-0.0121
1776367002.9967418,,,,,-0.6784,3.5653,9.1645,0.0116,-0.0631,-0.0118
1776367002.996759,,,,,-0.6915,3.5258,9.1609,0.0107,-0.0637,-0.0121
1776367002.996873,,,,,-0.6712,3.5378,9.1705,0.0110,-0.0640,-0.0108
1776367002.9970088,,,,,-0.6879,3.5617,9.1669,0.0110,-0.0634,-0.0111
1776367002.9970372,,,,,-0.6879,3.5474,9.1717,0.0093,-0.0641,-0.0113
1776367002.997191,,,,,-0.6664,3.5545,9.1681,0.0086,-0.0649,-0.0108
1776367003.052238,,,,,-0.6784,3.4911,9.1693,0.0082,-0.0648,-0.0107
1776367003.052476,,,,,-0.6652,3.4684,9.1585,0.0116,-0.0635,-0.0110
