time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776363415.039606,,,,,-1.1940,3.2889,9.2231,0.2819,-0.0218,-0.0113
1776363415.039629,,,,,-1.2873,3.6479,9.3284,0.3172,-0.0492,-0.0156
1776363415.039645,,,,,-1.4321,3.5785,9.3153,0.3829,-0.1494,-0.0180
1776363415.03966,,,,,-1.0672,3.8034,9.3320,0.4192,-0.1909,-0.0310
1776363415.0397198,,,,,-1.4620,3.0999,9.6514,0.4545,-0.2254,-0.0347
1776363415.0397341,,,,,-1.6295,1.1880,10.6110,0.6460,-0.2663,-0.0250
1776363415.0398421,,,,,-1.4907,4.2520,9.3834,0.9772,-0.2618,0.0310
1776363415.094265,,,,,-2.2397,3.7902,9.5629,1.0934,-0.3818,0.0319
1776363415.096056,,,,,-2.0901,3.3643,9.7507,1.2220,-0.4835,0.0744
1776363415.0961988,,,,,-1.0923,3.3894,9.8776,1.3691,-0.5789,0.1104
1776363415.09621,,,,,-0.6305,3.9266,9.5462,1.5295,-0.6397,0.0944
1776363415.124353,11,2.4,DRV1,52,-0.1472,3.5521,9.5844,1.7294,-0.6577,0.0585
1776363415.1255019,,,,,-0.9930,1.6570,10.4674,2.0530,-0.5851,0.0819
1776363415.154391,,,,,-1.1258,2.3581,10.3178,2.5064,-0.5618,0.0750
1776363415.156445,,,,,-0.1149,2.6106,9.6000,2.9254,-0.6251,-0.0389
1776363415.15647,,,,,-0.2429,2.9671,9.8189,3.3900,-0.6144,-0.1729
1776363415.156659,,,,,-0.4080,2.6596,9.2411,3.8087,-0.4720,-0.2705
1776363415.157422,,,,,-0.9595,2.6142,9.2171,4.2834,-0.3216,-0.3152
1776363415.157553,,,,,-0.4451,2.8056,9.1011,4.7918,-0.1985,-0.3334
1776363415.1575732,,,,,-0.6855,3.4708,8.7960,4.9998,-0.1126,-0.2958
1776363415.214298,,,,,-0.9787,4.4112,9.3332,5.0036,-0.1190,-0.1628
1776363415.216044,,,,,0.3876,3.9757,10.1001,5.0036,-0.2382,-0.0649
1776363415.216234,,,,,0.4822,4.7426,12.3793,5.0036,-0.1345,0.0046
1776363415.216245,,,,,-1.8317,9.5414,15.1047,5.0036,0.0571,0.1336
1776363415.2173598,,,,,-0.4606,14.5555,15.8309,5.0036,-0.0281,0.2097
1776363415.217515,,,,,-3.4122,13.5446,12.9978,5.0036,-0.0218,0.2393
1776363415.306992,,,,,-0.6867,14.3593,14.5304,5.0036,-0.5162,0.4191
1776363415.307202,,,,,1.5685,11.7918,17.6507,5.0036,-0.6109,0.3235
1776363415.335296,,,,,1.1952,11.8851,20.2756,5.0036,-0.6180,0.2645
1776363415.336606,,,,,3.6933,5.2558,18.8279,5.0036,-0.5340,-0.0695
1776363415.336732,,,,,7.6762,-3.8369,17.0142,5.0036,-0.1093,-0.5431
1776363415.365421,,,,,8.7637,9.3595,16.8263,4.9075,1.5333,-0.5437
1776363415.367742,,,,,5.0369,19.2096,27.4492,2.8350,1.6942,-0.3764
